Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0106.rcc.local:UCM:1b9a:78ca4700: 1171136048 us(1504249 us!!!):  ucm_recv: UNKNOWN msg 0x150df68, ver 0
midway2-0106.rcc.local:UCM:1b9d:3d3ba700: 1171127895 us(804449 us!!!):  ucm_recv: UNKNOWN msg 0xe74a68, ver 0
midway2-0106.rcc.local:UCM:1ba0:ddae4700: 1171137219 us(804390 us!!!):  ucm_recv: UNKNOWN msg 0x11e3d68, ver 0
midway2-0106.rcc.local:UCM:1ba2:c2c09700: 1171266560 us(1171266560 us!!!):  ucm_recv: UNKNOWN msg 0x9e5b68, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1171467455 us(3179777 us!!!):  ucm_recv: UNKNOWN msg 0x2803068, ver 0
midway2-0106.rcc.local:UCM:1b9e:37ac8700: 1171474142 us(950025 us!!!):  ucm_recv: UNKNOWN msg 0x282bc68, ver 0
midway2-0106.rcc.local:UCM:1b9f:eebb0700: 1171682530 us(746227 us!!!):  ucm_recv: UNKNOWN msg 0x2660b68, ver 0
midway2-0106.rcc.local:UCM:1ba1:7b0dc700: 1171666959 us(946467 us!!!):  ucm_recv: UNKNOWN msg 0x189ca68, ver 0
midway2-0106.rcc.local:UCM:1b9b:36d47700: 1171852584 us(1665878 us!!!):  ucm_recv: UNKNOWN msg 0xeccb68, ver 0
midway2-0106.rcc.local:UCM:1ba3:7947a700: 1171843371 us(1171843371 us!!!):  ucm_recv: UNKNOWN msg 0x1faf768, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1172062414 us(3286075 us!!!):  ucm_recv: UNKNOWN msg 0x21d1268, ver 0
midway2-0106.rcc.local:UCM:1ba0:ddae4700: 1172063057 us(925838 us!!!):  ucm_recv: UNKNOWN msg 0x11e3e68, ver 0
midway2-0106.rcc.local:UCM:1b9c:dfcf6700: 1172251099 us(1530102 us!!!):  ucm_recv: UNKNOWN msg 0xecbd68, ver 0
