gssvar,s,q,r
ptsd2,2,1,3
ptsd3,3,1,3
ptsd7,1,2,3
ptsd8,3,2,2
ptsd10,2,1,3
ptsd11,3,,2
ptsd12,2,3,3
ptsd13,2,2,4
ptsd14,4,3,1
ptsd15,3,,3
ptsd18,3,4,1
ptsd22,1,,3
ptsd25,4,3,1
ptsd26,2,,1
ptsd28,3,2,2
ptsd29,3,4,5
ptsd30,4,3,2
ptsd31,2,5,5
ptsd33,3,,4
ptsd34,2,3,3
ptsd37,3,3,3
ptsd38,2,1,3
ptsd40,3,2,4
ptsd41,2,5,4
ptsd42,2,4,2
ptsd44,1,,2
ptsd45,4,2,4
ptsd46,1,1,3
ptsd53,2,4,1
ptsd54,2,1,2
ptsd57,4,2,3
ptsd59,1,2,1
ptsd60,4,1,1
ptsd63,1,2,3
ptsd66,1,4,2
ptsd68,3,,4
ptsd74,4,,1
ptsd75,3,,4
ptsd77,4,2,4
ptsd79,2,5,2
ptsd80,3,3,4
ptsd83,2,,1
ptsd85,2,,1
ptsd86,4,1,5
ptsd90,4,1,2
ptsd93,4,,1
ptsd94,4,3,3
ptsd95,3,2,4
ptsd96,2,3,1
ptsd97,1,3,1
ptsd101,2,,4
ptsd102,1,,1
ptsd105,4,,1
ptsd107,1,4,2
ptsd109,4,,1
ptsd110,4,,2
ptsd111,1,,2
ptsd112,3,1,1
ptsd114,2,3,4
ptsd116,2,,1
ptsd117,3,,2
ptsd118,1,4,5
ptsd128,1,,3
ptsd132,1,2,3
ptsd136,2,,3
ptsd141,3,4,2
ptsd144,3,,1
ptsd145,3,,4
ptsd146,2,1,1
ptsd150,3,4,3
ptsd154,1,2,3
ptsd160,1,3,3
ptsd161,1,2,5
ptsd162,1,5,2
ptsd163,1,,1
ptsd164,2,3,4
ptsd165,2,2,3
ptsd169,2,4,3
ptsd170,3,3,2
ptsd171,3,,3
ptsd176,2,1,2
ptsd177,3,,3
ptsd178,3,,2
ptsd179,3,,2
ptsd180,4,4,4
ptsd182,1,,3
ptsd185,2,2,2
ptsd187,1,3,3
ptsd188,1,,2
ptsd192,3,4,2
ptsd193,2,2,3
ptsd194,2,3,1
ptsd195,3,,3
ptsd196,2,,2
ptsd201,4,,2
ptsd202,4,,4
ptsd206,4,3,4
ptsd210,4,5,5
ptsd211,4,,4
