gssvar,s,q,r
ptsd2,1,2,3
ptsd3,1,,3
ptsd5,4,1,1
ptsd7,1,2,3
ptsd9,1,,2
ptsd10,3,1,3
ptsd13,1,1,1
ptsd14,1,2,4
ptsd16,2,,1
ptsd23,1,3,3
ptsd25,1,1,3
ptsd28,1,1,3
ptsd30,1,,3
ptsd32,5,,3
ptsd34,1,1,1
ptsd37,1,3,3
ptsd39,1,1,3
ptsd41,1,2,2
ptsd43,2,2,5
ptsd46,1,,4
ptsd50,1,,2
ptsd51,1,1,4
ptsd53,1,2,1
ptsd55,1,,5
ptsd64,2,1,4
ptsd65,2,,2
ptsd67,4,1,1
ptsd69,3,,2
ptsd70,2,1,4
ptsd74,4,4,3
ptsd76,2,,3
ptsd78,2,2,1
ptsd82,2,,3
ptsd84,1,2,1
ptsd87,4,,1
ptsd88,2,,1
ptsd92,3,4,2
ptsd93,1,3,1
ptsd95,1,,3
ptsd96,3,3,4
ptsd98,2,,4
ptsd99,1,2,4
ptsd101,1,5,2
ptsd104,5,,4
ptsd107,3,3,1
ptsd109,4,,3
ptsd111,3,,5
ptsd112,1,1,4
ptsd113,3,3,3
ptsd114,1,2,1
ptsd119,2,3,1
ptsd120,1,2,2
ptsd121,1,1,2
ptsd128,2,,3
ptsd131,1,4,3
ptsd132,1,,2
ptsd135,1,1,2
ptsd136,3,,1
ptsd138,2,1,2
ptsd139,1,1,1
ptsd140,1,,5
ptsd141,1,3,1
ptsd146,1,1,3
ptsd148,1,4,3
ptsd151,1,,1
ptsd152,1,2,3
ptsd153,2,4,1
ptsd154,2,1,3
ptsd156,1,1,3
ptsd157,1,3,3
ptsd158,2,,5
ptsd159,4,,2
ptsd160,3,1,1
ptsd161,1,1,5
ptsd165,1,4,1
ptsd169,2,3,2
ptsd170,5,1,2
ptsd171,1,1,2
ptsd174,1,,2
ptsd176,1,1,3
ptsd178,1,,2
ptsd179,2,3,3
ptsd180,2,3,3
ptsd181,1,1,2
ptsd183,2,,2
ptsd184,1,1,3
ptsd186,3,1,3
ptsd191,2,1,1
ptsd193,1,1,2
ptsd195,2,5,2
ptsd196,3,,4
ptsd201,1,1,4
ptsd202,2,,5
ptsd205,1,5,4
ptsd206,2,5,5
ptsd207,3,,5
ptsd208,2,3,3
ptsd210,2,5,3
ptsd211,5,3,4
