gssvar,s,q,r
ptsd2,1,1,3
ptsd6,2,1,3
ptsd7,1,,3
ptsd13,1,,2
ptsd15,1,4,1
ptsd16,1,3,1
ptsd17,1,,4
ptsd19,1,,1
ptsd21,1,1,3
ptsd22,1,,1
ptsd26,1,4,1
ptsd28,1,2,3
ptsd29,1,2,1
ptsd31,1,1,5
ptsd32,2,2,5
ptsd34,1,1,2
ptsd35,1,1,5
ptsd38,1,1,2
ptsd40,2,1,1
ptsd42,2,2,4
ptsd43,2,3,3
ptsd46,1,,5
ptsd49,1,2,4
ptsd50,1,1,3
ptsd51,1,2,1
ptsd52,1,,1
ptsd54,1,1,4
ptsd55,1,,2
ptsd60,1,2,4
ptsd61,5,2,3
ptsd67,1,,3
ptsd69,1,1,1
ptsd70,1,,3
ptsd72,1,,1
ptsd73,1,,1
ptsd74,1,1,1
ptsd75,1,3,5
ptsd77,1,,4
ptsd78,1,,1
ptsd79,1,2,4
ptsd82,1,2,4
ptsd83,1,,2
ptsd84,1,1,4
ptsd86,1,1,1
ptsd91,1,1,2
ptsd93,1,,2
ptsd96,1,,4
ptsd97,1,1,3
ptsd101,1,2,1
ptsd105,3,1,1
ptsd106,1,,1
ptsd108,1,3,1
ptsd109,4,,3
ptsd110,4,4,3
ptsd111,2,,2
ptsd112,1,,2
ptsd113,5,,1
ptsd115,1,,4
ptsd116,1,,1
ptsd117,1,1,2
ptsd122,1,1,4
ptsd123,1,4,2
ptsd124,1,4,3
ptsd126,1,4,1
ptsd127,1,3,3
ptsd128,1,,1
ptsd130,1,,3
ptsd131,2,3,1
ptsd132,1,3,3
ptsd133,1,1,3
ptsd134,1,,3
ptsd135,1,,5
ptsd137,1,1,2
ptsd143,1,,1
ptsd147,1,,5
ptsd148,1,,3
ptsd149,1,1,2
ptsd151,1,,2
ptsd153,1,4,2
ptsd154,1,2,3
ptsd155,1,,2
ptsd156,1,,3
ptsd157,1,3,5
ptsd159,2,1,3
ptsd160,1,3,5
ptsd163,1,,2
ptsd165,1,1,1
ptsd166,1,,3
ptsd168,1,1,3
ptsd171,1,3,4
ptsd172,1,2,2
ptsd173,2,3,4
ptsd175,1,,4
ptsd177,1,1,2
ptsd178,1,3,1
ptsd179,1,1,1
ptsd180,1,1,3
ptsd182,1,2,5
ptsd183,1,,3
ptsd186,1,3,3
ptsd190,1,,1
ptsd191,1,1,2
ptsd192,1,1,5
ptsd193,1,1,4
ptsd194,1,3,4
ptsd198,1,3,2
ptsd201,1,,1
ptsd203,2,,5
ptsd205,1,4,4
ptsd206,1,,5
ptsd208,1,2,5
ptsd209,1,1,1
ptsd210,1,3,3
