gssvar,s,q,r
ptsd4,2,3,2
ptsd7,2,,3
ptsd8,2,,3
ptsd11,1,3,4
ptsd13,2,4,1
ptsd16,3,3,1
ptsd18,4,,4
ptsd19,2,3,1
ptsd21,1,1,3
ptsd22,2,2,1
ptsd25,3,,1
ptsd26,4,3,1
ptsd29,3,,1
ptsd32,3,3,5
ptsd33,3,4,5
ptsd34,2,4,2
ptsd39,2,3,3
ptsd41,1,5,4
ptsd42,3,,2
ptsd44,2,1,3
ptsd45,1,2,5
ptsd48,4,1,4
ptsd49,3,3,3
ptsd52,3,1,1
ptsd53,2,3,2
ptsd54,1,2,4
ptsd55,2,3,2
ptsd56,4,1,1
ptsd57,5,4,4
ptsd60,3,3,3
ptsd61,5,,3
ptsd62,1,1,2
ptsd63,1,,3
ptsd64,2,,1
ptsd65,4,3,1
ptsd68,4,4,1
ptsd70,4,3,1
ptsd71,5,,1
ptsd72,3,,5
ptsd74,5,3,4
ptsd77,5,4,1
ptsd78,5,5,4
ptsd82,2,2,4
ptsd83,1,3,2
ptsd84,5,,4
ptsd85,3,,1
ptsd86,5,3,1
ptsd87,5,1,5
ptsd88,3,,4
ptsd89,5,1,3
ptsd90,4,2,4
ptsd91,4,,2
ptsd94,4,,3
ptsd96,5,,4
ptsd97,5,2,1
ptsd98,1,,3
ptsd100,5,3,2
ptsd101,5,,2
ptsd102,5,,1
ptsd104,5,,4
ptsd105,4,,1
ptsd106,4,,3
ptsd110,5,4,5
ptsd111,5,1,1
ptsd112,1,,3
ptsd113,1,2,3
ptsd114,2,4,4
ptsd115,2,5,3
ptsd116,1,1,1
ptsd118,2,,3
ptsd119,4,,1
ptsd121,1,,1
ptsd127,4,4,2
ptsd128,2,3,2
ptsd129,3,1,4
ptsd132,3,4,1
ptsd136,3,3,5
ptsd138,4,,1
ptsd140,3,,2
ptsd141,3,1,3
ptsd142,3,2,2
ptsd145,3,3,1
ptsd146,3,,2
ptsd148,4,4,3
ptsd149,3,2,5
ptsd153,4,3,3
ptsd154,3,,5
ptsd155,3,,2
ptsd156,4,,3
ptsd158,3,1,1
ptsd159,2,2,3
ptsd161,1,1,2
ptsd164,3,2,4
ptsd165,4,,2
ptsd166,3,,2
ptsd167,4,4,1
ptsd168,2,1,5
ptsd169,3,1,4
ptsd170,3,3,5
ptsd172,3,,5
ptsd173,3,,3
ptsd174,3,1,3
ptsd175,3,5,4
ptsd176,3,2,5
ptsd177,3,,4
ptsd178,3,,1
ptsd180,3,,2
ptsd184,2,1,2
ptsd185,3,2,3
ptsd188,4,,2
ptsd189,2,1,4
ptsd190,1,,2
ptsd191,2,,3
ptsd199,3,,4
ptsd202,3,,5
ptsd203,3,4,5
ptsd204,2,2,1
ptsd205,2,1,3
ptsd206,1,2,2
ptsd207,1,1,2
