,ideology
0,0.29344933871369183
1,0.027156292241210543
2,0.28810621192963787
3,0.10199148303478192
4,0.02397959192297995
5,0.11793371889474867
6,0.2565743074893712
7,0.46905316547083276
8,0.1323476269717895
9,0.06145047646794782
