gssvar,s,q,r
ptsd1,4,1,3
ptsd2,2,,3
ptsd4,4,1,1
ptsd7,2,4,3
ptsd9,3,3,2
ptsd11,3,1,1
ptsd13,4,3,1
ptsd15,3,1,4
ptsd17,4,4,1
ptsd18,4,4,3
ptsd21,1,1,1
ptsd22,3,1,3
ptsd23,5,1,3
ptsd29,3,1,1
ptsd37,3,3,3
ptsd38,3,3,3
ptsd41,2,2,2
ptsd42,3,1,3
ptsd43,2,3,4
ptsd48,3,4,2
ptsd50,3,1,4
ptsd52,2,2,3
ptsd53,4,4,3
ptsd54,1,1,3
ptsd55,3,3,2
ptsd56,4,1,2
ptsd58,3,,4
ptsd60,2,,2
ptsd61,2,2,4
ptsd63,1,1,2
ptsd65,2,,3
ptsd68,3,,3
ptsd76,2,5,1
ptsd78,3,4,3
ptsd79,3,2,1
ptsd80,3,3,1
ptsd86,2,,1
ptsd87,2,,5
ptsd89,3,3,4
ptsd90,3,3,1
ptsd91,3,3,1
ptsd94,2,3,1
ptsd95,2,,4
ptsd97,3,,2
ptsd100,4,3,4
ptsd102,2,2,1
ptsd104,2,5,1
ptsd107,3,,3
ptsd108,3,,1
ptsd110,3,,3
ptsd111,3,,1
ptsd112,1,1,1
ptsd113,3,1,4
ptsd116,4,,1
ptsd117,1,1,3
ptsd120,3,4,2
ptsd122,2,2,1
ptsd124,2,,4
ptsd126,3,,4
ptsd129,2,1,3
ptsd132,3,3,4
ptsd133,2,2,1
ptsd135,2,4,5
ptsd137,3,3,1
ptsd139,3,,1
ptsd141,3,1,1
ptsd143,3,3,4
ptsd144,3,1,1
ptsd147,3,3,1
ptsd150,2,2,3
ptsd151,1,1,3
ptsd155,3,,3
ptsd157,3,,5
ptsd161,2,1,2
ptsd164,2,1,3
ptsd169,3,4,5
ptsd172,2,1,3
ptsd173,2,,2
ptsd174,3,2,2
ptsd175,3,1,3
ptsd176,3,1,2
ptsd181,2,3,3
ptsd183,2,,5
ptsd184,2,,3
ptsd189,2,1,2
ptsd190,1,1,2
ptsd193,2,,2
ptsd194,2,,3
ptsd196,2,1,1
ptsd197,3,3,3
ptsd198,3,4,2
ptsd199,4,2,2
ptsd200,4,,4
ptsd202,2,,4
ptsd203,4,,5
ptsd208,2,4,4
ptsd209,2,1,5
ptsd210,4,4,5
ptsd211,2,2,3
