,R,L
abany,2.0,1.0
abdefectg,2.0,1.0
abdefect,2.0,1.0
abhlth,2.0,1.0
abnomore,2.0,1.0
abpoor,2.0,1.0
abpoorg,2.0,1.0
abrape,2.0,1.0
abrapeg,2.0,1.0
absingle,2.0,1.0
absingleg,2.0,1.0
bible,2.0,3.0
colcom,4.0,5.0
colcomy,1.0,2.0
colmil,4.0,5.0
conlabor,3.0,1.0
grass,2.0,1.0
grassnv,2.0,1.0
gunlaw,2.0,1.0
libcom,1.0,2.0
libmil,2.0,1.0
libhomo,1.0,2.0
libhomoy,1.0,2.0
libmslm,1.0,2.0
libmslmy,1.0,2.0
owngun,1.0,2.0
pillok,4.0,1.0
polabuse,2.0,1.0
pray,1.0,6.0
prayerv,2.0,1.0
prayernv,2.0,1.0
attend,8.0,0.0
relitenv,1.0,2.0
relitennv,1.0,2.0
rowngun,1.0,2.0
shotgun,1.0,2.0
rifle,1.0,2.0
spkcom,2.0,1.0
spkcomy,2.0,1.0
spkmil,1.0,2.0
spkmily,1.0,2.0
taxrich,1.0,5.0
viruses,1.0,2.0
