wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,VOTE72,PRES72,IF72WHO,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,CAPPUN2,gunlaw,courts,grass,relig,denom,other,fund,attend,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,racmar,racdin,racpush,racopen,raclive,racclos,racdis,racinteg,rachome,happy,hapmar,health,life,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,aged,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,classy,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,aborct,xmarsex,homosex,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,strike,civright,antiwar,prowar,school,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,povline,incdef,realinc,coninc,ethnic,ethnum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,commun,cohort,marcohrt,sampcode,wtssall
working fulltime,c,e,,c,c,someone else,c,not found,d,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,d,no,keeping house,e,e,yes,c,b,someone else,c,c,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,b,e,e,b,lt high school,,,lt high school,male,white,town lt 50000,foreign,different state,mother,parent died,yes,no,yes,far below average,c,0,0,1,2,c,c,$10000 - 14999,e. nor. central,"uninc,med city",other urban,16,c,c,b,c,c,c,d,c,b,c,c,c,e,e,e,e,e,e,other party,voted,wallace,,voted,nixon,,too much,too much,too little,too much,too much,too little,too little,too much,about right,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,,oppose,not harsh enough,not legal,protestant,other,"evangelical, evangelist",fundamentalist,more thn once wk,yes,protestant,lutheran-dk which,,moderate,protestant,other,"evangelical, evangelist",fundamentalist,protestant,lutheran-dk which,,moderate,no,not object,agree strongly,owner decides,no,,,,no,not too happy,very happy,fair,routine,lookout for self,fair,can't be too careful,great deal,very great deal,great deal,quite a bit,a fair amount,only some,hardly any,a great deal,only some,only some,only some,only some,hardly any,a great deal,only some,only some,a great deal,not mentioned,not mentioned,1 most desirable,3 least desirable,not mentioned,1 least desirable,3 most desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,a bad idea,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,very satisfied,stop working,fourth,most impt,fifth,second,third,,working class,satisfied,stayed same,average,yes,yes,no,,no,yes,r belongs,both equally,no,no,yes,no,no,no,no,always wrong,always wrong,yes,yes,yes,yes,illegal to all,no,no,no,no,no,no,yes,child,2-3 times,yes,adult,,no,,,,,,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"5,000 to 9,999",c,c,germany,names 1,c,e,c,c,e,d,"sewing, embroidery and related workers",,sewing machine operators,c,c,c,e,e,e,b,b,b,no,active part,stay in,worst kind,c,c,134,c
keeping house,e,e,yes,c,c,someone else,b,found,c,verbatims for r,"found, coded",found,b,c,c,"found, coded",found,married,c,no,other,e,e,yes,c,c,self-employed,c,c,verbatims for sp,"found, coded",found,c,c,"groceries and related products, merchant wholesalers","found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,b,c,c,b,lt high school,lt high school,lt high school,lt high school,female,white,farm,e. nor. central,same city,mother & father,,no,,,below average,c,0,1,0,4,c,d,$7000 to 7999,e. nor. central,"uninc,med city",other urban,16,d,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,nixon,,voted,nixon,,too much,about right,too little,too little,too little,too little,about right,too little,about right,too much,too little,not allowed,not allowed,not remove,allowed,allowed,remove,not allowed,fired,not remove,allowed,allowed,not remove,"yes,favor",oppose,not harsh enough,not legal,protestant,lutheran-dk which,,moderate,sevrl times a yr,yes,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,yes,not object,disagree slightly,owner decides,no,,,,no,very happy,very happy,good,routine,helpful,fair,can trust,very great deal,none,very great deal,very great deal,great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,3 least desirable,1 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,not mentioned,a good idea,disagree,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,very satisfied,,second,fourth,fifth,most impt,third,working class,,more or less,stayed same,average,,,,,no,no,neither belongs,hard work,yes,yes,yes,yes,yes,yes,yes,always wrong,always wrong,no,yes,yes,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,phone in home,cooperative,good,standard <x>,not poor,"1,000 to 4,999",c,c,denmark,names 1,d,c,c,d,b,b,metal working machine tool setters and operators,agricultural and forestry production managers,sales workers,c,b,c,c,c,c,c,c,d,,stay out,stay in,worst kind,c,c,134,e
working fulltime,c,e,,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,e,"found, no answer",found,married,b,no,working fulltime,c,e,,c,c,someone else,b,c,verbatims for sp,"found, coded",found,c,c,construction,"found, coded",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,e,c,c,c,c,c,lt high school,high school,high school,lt high school,female,white,50000 to 250000,e. nor. central,same city,mother & father,,yes,no,yes,average,e,1,4,3,2,c,c,$10000 - 14999,e. nor. central,"uninc,med city",other urban,16,d,c,c,b,b,c,d,c,b,c,c,c,d,c,c,c,c,c,"ind,near rep",did not vote,,wallace,did not vote,,mcgovern,too much,too little,too little,about right,too little,too little,too little,about right,about right,too much,about right,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,"yes,favor",oppose,not harsh enough,legal,protestant,lutheran-dk which,,moderate,never,no,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,no,mildly object,agree slightly,owner decides,no,,,,yes,pretty happy,very happy,excellent,routine,lookout for self,fair,can't be too careful,quite a bit,a fair amount,quite a bit,quite a bit,great deal,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,only some,a great deal,only some,only some,not mentioned,1 least desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,3 least desirable,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,3 most desirable,a bad idea,agree,disagree,agree,disagree,agree,disagree,disagree,disagree,agree,very satisfied,continue working,third,fourth,fifth,most impt,second,,working class,more or less,stayed same,average,yes,yes,no,,yes,no,spouse belongs,hard work,yes,yes,yes,yes,yes,yes,yes,sometimes wrong,always wrong,no,yes,yes,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"1,000 to 4,999",c,c,hungary,names 1,d,d,d,c,c,c,product graders and testers (excluding foods and beverages),steam engine and boiler operators,painters and related workers,c,c,c,c,c,c,c,b,c,yes,active part,stay in,"bad, not worst",c,c,134,c
working fulltime,c,e,,c,b,someone else,b,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,b,b,"periodical, book, and directory publishers","found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,c,c,c,c,high school,lt high school,high school,high school,male,white,farm,e. nor. central,"same st,dif city",mother & father,,no,,,average,c,2,1,0,2,c,c,$10000 - 14999,e. nor. central,"uninc,med city",other urban,16,c,c,c,c,c,c,d,c,c,b,c,c,c,c,c,c,c,c,not str democrat,did not vote,,wallace,did not vote,,mcgovern,too much,too little,about right,about right,too little,too little,too much,about right,too little,too much,too much,allowed,not allowed,not remove,allowed,not allowed,not remove,not allowed,fired,remove,allowed,not allowed,not remove,"yes,favor",oppose,not harsh enough,not legal,protestant,lutheran-dk which,,moderate,never,,none,,,liberal,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,yes,,agree strongly,owner decides,no,,,,no,pretty happy,very happy,excellent,routine,lookout for self,take advantage,can't be too careful,none,very great deal,very great deal,very great deal,very great deal,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,a great deal,3 most desirable,3 least desirable,1 most desirable,not mentioned,not mentioned,3 least desirable,1 least desirable,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,a good idea,disagree,agree,agree,agree,disagree,agree,agree,agree,agree,mod. satisfied,continue working,second,most impt,third,fourth,fifth,,working class,not at all sat,stayed same,average,yes,yes,no,,yes,yes,r and spouse belong,hard work,yes,yes,yes,yes,yes,no,no,always wrong,always wrong,yes,yes,yes,yes,illegal under 18,no,yes,no,no,no,no,yes,both,4+ times,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"5,000 to 9,999",c,c,,cannot name any,c,c,d,c,b,d,stock clerks,agricultural and forestry production managers,print finishing and binding workers,c,c,c,c,c,c,c,b,c,yes,,stay in,worst kind,c,d,134,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,c,c,someone else,b,c,verbatims for sp,"found, coded",found,c,c,motor vehicles and motor vehicle equipment manufacturing,"found, coded",found,c,c,self-employed,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,b,c,c,c,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",e. nor. central,same city,mother & father,,no,,,average,c,0,1,0,2,c,c,$10000 - 14999,e. nor. central,"uninc,med city",other urban,16,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,"ind,near rep",voted,nixon,,voted,nixon,,too much,about right,about right,about right,too little,too little,too little,about right,about right,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,allowed,not allowed,remove,"yes,favor",favor,about right,not legal,protestant,lutheran-dk which,,moderate,every week,no,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,no,not object,agree slightly,owner decides,yes,no,over 8 blks,stay integrated,no,pretty happy,pretty happy,good,routine,helpful,fair,can trust,great deal,great deal,great deal,great deal,great deal,only some,only some,only some,only some,hardly any,hardly any,only some,only some,hardly any,a great deal,only some,only some,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,3 least desirable,not mentioned,3 most desirable,1 most desirable,not mentioned,3 least desirable,a bad idea,agree,disagree,disagree,disagree,disagree,disagree,disagree,agree,disagree,mod. satisfied,,third,fourth,fifth,second,most impt,,middle class,satisfied,better,average,yes,yes,no,,no,no,spouse belongs,hard work,yes,no,yes,yes,yes,yes,yes,always wrong,always wrong,no,yes,yes,no,illegal to all,no,no,no,no,no,no,no,,,no,,,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"5,000 to 9,999",c,c,germany,names 1,e,c,d,e,c,c,,heavy truck and lorry drivers,motor vehicle mechanics and repairers,e,e,e,c,c,c,c,c,c,yes,stay out,stay in,worst kind,c,c,134,c
working fulltime,c,e,,c,c,someone else,d,found,c,verbatims for r,"found, coded",found,c,c,d,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,self-employed,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,c,c,c,e,high school,lt high school,lt high school,,female,white,city gt 250000,middle atlantic,same city,mother & father,,yes,yes,no,average,d,0,1,2,3,c,c,$10000 - 14999,middle atlantic,city gt 250000,12 lrgst smsa's,1949,b,b,c,c,d,c,e,e,e,e,e,e,c,c,b,c,c,c,not str democrat,voted,humphrey,,voted,mcgovern,,about right,too much,about right,about right,too little,too little,about right,about right,about right,too much,too much,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,fired,remove,allowed,not allowed,not remove,"yes,favor",favor,not harsh enough,not legal,catholic,,,moderate,every week,yes,catholic,,,moderate,,,,,,,,,yes,not object,agree strongly,owner decides,yes,no,1-3 blks away,stay integrated,no,pretty happy,,good,routine,lookout for self,take advantage,can't be too careful,very great deal,very great deal,very great deal,great deal,very great deal,a great deal,a great deal,only some,only some,hardly any,a great deal,a great deal,only some,only some,a great deal,only some,only some,1 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,3 most desirable,1 most desirable,not mentioned,3 least desirable,a good idea,agree,disagree,disagree,agree,agree,agree,disagree,disagree,agree,very satisfied,stop working,most impt,fifth,second,third,fourth,,working class,not at all sat,stayed same,average,yes,yes,yes,no,yes,no,r belongs,luck or help,yes,no,yes,no,yes,no,yes,always wrong,always wrong,yes,yes,no,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"5,000 to 9,999",c,c,italy,names 1,c,c,e,b,c,e,office supervisors,building and related electricians,,c,c,c,c,c,c,e,e,e,yes,stay out,stay in,worst kind,c,c,113,d
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,d,e,,d,c,self-employed,c,c,verbatims for sp,"found, coded",found,c,c,barber shops,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,b,b,c,b,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",middle atlantic,same city,mother & father,,yes,yes,yes,average,c,1,2,0,2,c,c,$4000 to 4999,middle atlantic,city gt 250000,12 lrgst smsa's,1949,c,c,c,c,c,c,c,c,b,c,c,c,d,c,c,b,b,b,"ind,near dem",did not vote,,nixon,voted,nixon,,too much,too little,about right,too little,too little,too little,about right,about right,about right,about right,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,"yes,favor",favor,not harsh enough,not legal,catholic,,,moderate,more thn once wk,yes,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,no,strongly object,agree strongly,owner decides,yes,yes,1-3 blks away,stay integrated,no,very happy,very happy,excellent,exciting,helpful,fair,can't be too careful,some,great deal,very great deal,very great deal,very great deal,a great deal,a great deal,a great deal,a great deal,,a great deal,only some,a great deal,a great deal,,a great deal,a great deal,3 most desirable,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 least desirable,a bad idea,disagree,disagree,agree,disagree,agree,agree,agree,agree,disagree,very satisfied,,third,most impt,fourth,fifth,second,middle class,,more or less,stayed same,average,no,,no,,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,yes,always wrong,always wrong,no,yes,yes,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,borderline,-999 to 999,c,c,italy,names 1,c,d,c,c,d,c,accounting and bookkeeping clerks,building construction labourers,hairdressers,c,c,c,c,b,c,b,c,b,no,active part,stay in,worst kind,c,c,113,c
working fulltime,c,e,,b,e,someone else,c,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,never married,e,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,b,b,b,d,e,b,e,bachelor,,lt high school,,male,white,city gt 250000,middle atlantic,same city,mother,"divorce,separated",yes,no,no,far below average,c,0,0,0,2,c,c,$7000 to 7999,middle atlantic,city gt 250000,12 lrgst smsa's,1949,b,b,c,d,d,d,e,e,e,e,e,e,e,e,e,e,e,e,not str democrat,voted,humphrey,,voted,mcgovern,,too much,too little,too little,too little,too little,too little,too little,too much,too much,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,"no,dont favor",favor,not harsh enough,legal,none,,,liberal,never,no,catholic,,,moderate,,,,,,,,,no,not object,agree slightly,cant discriminate,no,,,,yes,pretty happy,,good,routine,lookout for self,take advantage,can't be too careful,none,some,great deal,quite a bit,very great deal,hardly any,hardly any,only some,hardly any,hardly any,a great deal,hardly any,only some,a great deal,only some,only some,hardly any,3 least desirable,3 least desirable,3 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,a bad idea,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,mod. satisfied,continue working,third,fifth,fourth,second,most impt,working class,,not at all sat,stayed same,average,yes,yes,no,,no,no,neither belongs,hard work,yes,yes,yes,yes,yes,yes,yes,sometimes wrong,not wrong at all,yes,no,no,yes,illegal under 18,yes,no,no,yes,no,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,standard <x>,not poor,"1,000 to 4,999",c,c,italy,names 1,c,e,e,c,e,e,financial analysts,,,e,d,d,e,e,e,e,e,e,yes,stay out,stay in,ok for some,d,e,113,c
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,widowed,c,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,b,c,self-employed,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,e,b,b,b,e,lt high school,lt high school,lt high school,,female,white,city gt 250000,middle atlantic,same city,mother & father,,yes,no,yes,average,b,0,0,0,1,e,b,$1000 to 2999,middle atlantic,city gt 250000,12 lrgst smsa's,1949,b,b,c,c,d,c,e,e,e,e,e,e,c,c,d,c,c,c,not str democrat,voted,humphrey,,voted,mcgovern,,about right,about right,too little,,too little,too little,too little,too much,about right,about right,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,not remove,"no,dont favor",favor,not harsh enough,not legal,catholic,,,moderate,every week,yes,catholic,,,moderate,,,,,,,,,yes,not object,agree strongly,owner decides,no,,,,no,pretty happy,,poor,dull,helpful,fair,can trust,very great deal,none,very great deal,very great deal,none,a great deal,only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,1 least desirable,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,3 most desirable,not mentioned,not mentioned,3 least desirable,3 most desirable,a bad idea,agree,agree,disagree,disagree,,disagree,agree,agree,disagree,very satisfied,,second,third,fourth,fifth,most impt,,middle class,more or less,better,below average,,,,,no,no,neither belongs,both equally,yes,no,yes,no,,no,yes,always wrong,always wrong,no,yes,yes,,illegal to all,no,yes,no,no,no,no,no,,,no,,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,,phone in home,cooperative,fair,alternate <y>,borderline,-999 to 999,b,b,italy,names 1,c,b,e,c,b,e,manufacturing supervisors,shop supervisors,,c,c,c,c,c,c,e,e,e,no,stay out,pull out,,a,a,113,b
working fulltime,c,e,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,e,e,d,"found, coded",found,married,c,no,keeping house,e,e,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,fuel dealers,"found, coded",found,b,d,someone else,c,b,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,d,d,c,c,bachelor,high school,lt high school,high school,male,white,city gt 250000,middle atlantic,same city,mother & father,,no,,,average,c,0,0,0,3,c,c,$15000 - 19999,middle atlantic,city gt 250000,12 lrgst smsa's,1949,b,c,b,e,d,d,c,c,c,c,c,c,c,c,b,d,c,d,"ind,near rep",voted,humphrey,,voted,nixon,,too little,too little,too little,too little,too little,too little,about right,too little,about right,about right,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,"yes,favor",favor,not harsh enough,not legal,catholic,,,moderate,every week,yes,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,no,not object,disagree slightly,owner decides,yes,no,1-3 blks away,stay integrated,yes,very happy,pretty happy,fair,routine,lookout for self,take advantage,can trust,a fair amount,great deal,great deal,great deal,a fair amount,only some,only some,hardly any,only some,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,3 most desirable,3 least desirable,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,1 least desirable,a bad idea,agree,disagree,disagree,agree,disagree,disagree,agree,agree,agree,very satisfied,continue working,third,fourth,fifth,most impt,second,middle class,,more or less,better,above average,yes,yes,yes,no,yes,no,r belongs,both equally,no,no,no,no,no,no,yes,always wrong,always wrong,yes,yes,yes,yes,illegal to all,no,yes,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,no,,,,,no,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,not poor,"10,000 to 20,000",c,c,ireland,names 1,b,a,c,b,c,c,mechanical engineers,draughtspersons,administrative and executive secretaries,e,d,e,d,d,c,c,c,c,no,active part,stay in,"bad, not worst",c,c,113,d
