wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,cappun,gunlaw,courts,wirtap,grass,relig,denom,other,fund,attend,reliten,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,racmar,racpush,racopen,raclive,racclos,racdis,racinteg,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,socrel,socommun,socfrend,socbar,aged,satjob,class,satfin,finalter,finrela,unemp,govaid,union,fehome,fework,fepres,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,news,tvhours,phone,coop,comprend,helppoor,helpnot,helpsick,helpblk,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,GENDER1,OLD1,MAR1,WHERE1,RELATE2,GENDER2,OLD2,MAR2,RELATE3,GENDER3,OLD3,MAR3,WHERE3,RELATE4,GENDER4,OLD4,MAR4,RELATE5,GENDER5,OLD5,MAR5,RELATE6,GENDER6,OLD6,MAR6,RELATE7,GENDER7,OLD7,MAR7,RELATE8,GENDER8,OLD8,MAR8,RELATE9,GENDER9,OLD9,RELATE10,OLD10,RELATE11,GENDER11,OLD11,MAR11,RELATE12,GENDER12,OLD12,MAR12,RELATE13,GENDER13,OLD13,RELATE14,GENDER14,OLD14,hhrace,respnum,hhtype,HHTYPE1,famgen,rplace,rvisitor,visitors,dateintv,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,sample,wtssall,vstrat,vpsu
"unempl, laid off",e,e,,c,c,someone else,b,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,self-employed,d,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,c,c,e,high school,lt high school,lt high school,,male,white,town lt 50000,new england,same city,mother & father,,yes,no,no,average,3,0,0,0,3,c,c,$6000 to 6999,$5000 to 5999,new england,city gt 250000,12 lrgst smsa's,641,c,c,b,c,d,c,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near dem",voted,mcgovern,,liberal,too much,too little,too little,too little,about right,too little,about right,about right,too much,too much,about right,favor,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,every week,strong,no,catholic,,,moderate,,,,,,,,,disapprove,no,agree strongly,owner decides,no,,,,no,no,no,oppose,yes,pretty happy,,excellent,helpful,fair,can trust,very great deal,a fair amount,great deal,quite a bit,very great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,only some,a great deal,a great deal,only some,only some,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,3 most desirable,not mentioned,not mentioned,1 least desirable,3 least desirable,sev times a mnth,once a month,once a year,never,a good idea,,working class,more or less,worse,average,yes,yes,neither belongs,agree,approve,yes,agree,yes,yes,yes,yes,yes,no,c,yes,c,e,available,available,favor,more difficult,not wrong at all,yes,no,no,no,illegal under 18,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,no,yes,everyday,c,phone in home,"friendly,interested",good,b,c,d,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,c,c,c,italy,names 1,less than 2 yrs,national guard,male,d,married,,spouse,female,d,married,child,male,d,never married,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,3rd person,"3adlts,2mar,sp,rel,0kids","married couple, no children","2 gens, children",child,r. is household member,no visitors,c,d,c,e,c,c,e,sheet-metal workers,shoemakers and related workers,,c,c,c,c,c,b,e,e,e,no,active part,stay in,c,c,c,c,c,d,c,c,c,e,101,1970 fp,d,7001,1
school,e,e,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,c,someone else,d,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,b,b,c,c,c,e,high school,high school,high school,,female,white,city gt 250000,new england,same city,mother & stpfather,"divorce,separated",yes,yes,yes,average,3,0,0,0,3,c,d,$10000 - 14999,,new england,city gt 250000,12 lrgst smsa's,641,e,e,e,e,e,e,e,e,e,e,e,e,c,c,d,d,c,d,not str democrat,not eligible,,mcgovern,slghtly conservative,about right,too little,too little,about right,about right,too little,too little,too little,about right,too much,about right,oppose,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,every week,somewhat strong,yes,catholic,,,moderate,,,,,,,,,approve,no,disagree strongly,owner decides,no,,,,"yes, object",,,oppose,yes,very happy,,excellent,helpful,fair,can't be too careful,great deal,very great deal,very great deal,very great deal,very great deal,only some,a great deal,only some,only some,only some,only some,only some,a great deal,hardly any,only some,a great deal,hardly any,a great deal,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,3 least desirable,not mentioned,not mentioned,1 most desirable,3 most desirable,1 least desirable,not mentioned,almost daily,sev times a week,sev times a mnth,never,depends,,middle class,more or less,stayed same,average,no,no,neither belongs,disagree,approve,yes,disagree,yes,no,yes,no,yes,no,c,yes,c,c,available,available,favor,stay same,not wrong at all,no,no,no,no,illegal to all,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,few times a week,c,phone in home,"friendly,interested",good,c,b,c,c,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,c,not poor,"5,000 to 9,999",c,e,c,e,italy,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,3rd person,"3adlts,2mar,sp,rel,0kids","married couple, no children","2 gens, children",child,r. is household member,no visitors,c,e,b,e,e,d,e,,uncodeable,,e,e,e,e,e,e,e,e,e,yes,stay out,stay in,c,c,c,c,c,c,c,c,d,e,101,1970 fp,d,7001,1
working fulltime,c,e,,c,c,someone else,d,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",widowed,c,no,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,b,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,b,a,a,e,lt high school,lt high school,lt high school,,female,white,city gt 250000,new england,same city,mother & father,,no,,,below average,1,0,0,0,1,e,c,$5000 to 5999,$5000 to 5999,new england,city gt 250000,12 lrgst smsa's,641,c,c,c,c,b,c,e,e,e,e,e,e,d,c,c,b,b,b,not str democrat,voted,mcgovern,,,too much,about right,about right,about right,about right,too little,about right,too much,too much,too much,about right,favor,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,every week,not very strong,yes,catholic,,,moderate,,,,,,,,,disapprove,yes,agree strongly,cant discriminate,no,,,,no,"yes, object",,oppose,no,not too happy,,fair,lookout for self,take advantage,can't be too careful,very great deal,great deal,very great deal,very great deal,a fair amount,a great deal,a great deal,a great deal,a great deal,a great deal,only some,a great deal,a great deal,a great deal,a great deal,,a great deal,a great deal,1 most desirable,3 most desirable,3 most desirable,3 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,sev times a week,once a month,sev times a year,never,a bad idea,very satisfied,working class,more or less,worse,average,,no,neither belongs,agree,disapprove,no,agree,yes,no,yes,yes,yes,no,c,inappropriate,e,e,available,available,favor,stay same,always wrong,yes,yes,no,no,illegal to all,no,no,,,no,,,no,,,,,,no,,,,,once a week,c,phone in home,cooperative,fair,c,c,b,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,c,c,c,italy,names 1,none,,female,c,widowed,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,d,e,c,d,e,mail carriers and sorting clerks,uncodeable,,c,c,c,e,e,e,e,e,e,no,stay out,pull out,c,b,c,c,e,c,c,b,c,c,101,1970 fp,b,7001,1
working fulltime,c,e,,c,b,someone else,c,not found,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,e,c,e,high school,,high school,,male,white,town lt 50000,new england,"same st,dif city",mother,"divorce,separated",yes,no,no,above average,2,0,0,0,2,c,c,$20000 - 24999,$1000 to 2999,new england,city gt 250000,12 lrgst smsa's,641,d,c,c,b,b,b,e,e,e,e,e,e,e,e,e,e,e,e,strong democrat,not eligible,,mcgovern,extremely liberal,too much,too little,too little,too little,too little,too little,too little,too little,too much,about right,too little,oppose,favor,,disapprove,legal,none,,,liberal,never,no religion,,catholic,,,moderate,,,,,,,,,approve,,disagree strongly,neither,yes,yes,1-3 blks away,stay integrated,no,no,no,favor,yes,pretty happy,,excellent,helpful,fair,can trust,quite a bit,quite a bit,quite a bit,great deal,very great deal,only some,hardly any,only some,a great deal,only some,a great deal,only some,a great deal,hardly any,a great deal,a great deal,only some,,not mentioned,3 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,sev times a year,never,almost daily,sev times a week,depends,a little dissat,middle class,more or less,better,above average,yes,no,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,e,uncertain,e,e,available,available,favor,easier,not wrong at all,yes,no,no,yes,,no,yes,,,no,,,no,,,,,,yes,no,no,yes,yes,few times a week,c,phone in home,"friendly,interested",good,b,b,b,b,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,c,d,c,ireland,names 1,none,,male,c,separated,,child,male,b,never married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,ntmar,rel,0kids","other fam., no children","2 gens, children",child,r. is household member,no visitors,c,c,e,e,d,e,e,"messengers, package deliverers and luggage porters",,,c,c,c,e,e,e,e,e,e,,active part,stay in,c,c,c,c,c,d,d,c,d,e,101,1970 fp,c,7001,1
working fulltime,c,e,,b,e,someone else,d,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,e,b,a,e,graduate,lt high school,lt high school,,male,white,50000 to 250000,new england,different state,mother & father,,no,,,below average,3,0,0,0,3,e,c,$20000 - 24999,$20000 - 24999,new england,city gt 250000,12 lrgst smsa's,641,b,c,b,e,d,d,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near dem",voted,mcgovern,,liberal,too much,about right,too little,too little,too little,about right,about right,about right,too much,too much,,favor,favor,not harsh enough,disapprove,legal,none,,,liberal,never,no religion,yes,catholic,,,moderate,,,,,,,,,approve,no,disagree strongly,cant discriminate,yes,yes,same block,stay integrated,no,no,no,favor,yes,very happy,,good,depends,depends,depends,very great deal,very great deal,great deal,great deal,quite a bit,only some,hardly any,hardly any,a great deal,hardly any,only some,a great deal,only some,only some,only some,only some,only some,only some,not mentioned,not mentioned,3 most desirable,3 least desirable,3 most desirable,not mentioned,1 least desirable,3 least desirable,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,once a month,sev times a mnth,sev times a week,sev times a mnth,depends,very satisfied,middle class,satisfied,better,above average,yes,yes,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,e,yes,d,c,available,available,favor,easier,not wrong at all,yes,no,no,yes,legal,,yes,child,2-3 times,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,few times a week,c,phone in home,"friendly,interested",good,b,c,b,b,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,c,not poor,"10,000 to 20,000",c,e,d,e,italy,names 1,none,,male,b,never married,,non-relative,male,c,never married,non-relative,female,c,never married,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"3adlts,0mar,ntrel,0kids","non-family, no children",1 gen,non-relative,r. is household member,no visitors,c,b,c,e,d,c,e,uncodeable,metal working machine tool setters and operators,,e,e,e,b,b,c,e,e,e,no,active part,stay in,c,c,c,c,c,d,d,c,c,e,101,1970 fp,d,7001,1
working fulltime,c,e,,b,d,someone else,d,not found,b,,"not found, coded","not found, assigned",d,d,c,"not found, coded","not found, assigned",married,c,no,working fulltime,c,e,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,insurance carriers and related activities,"not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,b,c,d,c,c,d,graduate,high school,high school,bachelor,female,white,big-city suburb,new england,"same st,dif city",mother & father,,no,,,above average,2,0,0,0,2,c,c,$15000 - 19999,$10000 - 14999,new england,"suburb, med city","suburb, 13-100",58,c,a,c,d,d,d,b,c,c,c,c,c,c,c,c,c,b,c,not str republican,did not vote,,nixon,moderate,about right,too little,about right,too little,too little,too little,too little,too little,too much,too much,too much,favor,favor,not harsh enough,disapprove,not legal,protestant,lutheran-dk which,,moderate,once a year,not very strong,yes,protestant,lutheran-dk which,,moderate,protestant,baptist-dk which,,fundamentalist,protestant,methodist-dk which,,moderate,approve,no,agree slightly,cant discriminate,yes,no,1-3 blks away,stay integrated,no,no,"yes, object",oppose,yes,very happy,very happy,excellent,helpful,fair,can trust,a fair amount,great deal,very great deal,very great deal,great deal,only some,hardly any,a great deal,only some,only some,only some,hardly any,a great deal,only some,a great deal,a great deal,only some,hardly any,not mentioned,not mentioned,1 most desirable,1 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,3 most desirable,3 most desirable,not mentioned,3 least desirable,sev times a mnth,sev times a year,sev times a mnth,never,a good idea,mod. satisfied,middle class,satisfied,better,above average,no,no,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,yes,c,d,available,available,favor,easier,sometimes wrong,yes,no,no,yes,illegal under 18,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,d,c,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,d,not poor,"10,000 to 20,000",c,c,c,c,germany,names 1,none,,male,b,married,,spouse,female,c,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,0kids","married couple, no children",1 gen,spouse,r. is household member,no visitors,c,b,d,c,b,c,b,secondary education teachers,product graders and testers (excluding foods and beverages),office supervisors,e,d,d,c,c,c,c,c,c,yes,active part,stay in,d,d,c,c,c,c,c,b,c,d,103,1970 fp,c,7002,1
working parttime,b,e,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned",married,c,no,working fulltime,e,e,,c,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,aircraft and parts manufacturing,"not found, coded","not found, assigned",c,c,someone else,d,d,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,d,c,c,e,e,c,lt high school,,,high school,female,white,city gt 250000,new england,same city,m and f relatives,,,,,average,8,0,3,3,2,c,d,$15000 - 19999,lt $1000,new england,"suburb, med city","suburb, 13-100",58,c,c,c,c,b,c,c,c,b,c,c,c,e,e,e,e,e,e,not str republican,voted,,,moderate,too much,too little,too little,too little,too little,too little,about right,about right,about right,too much,about right,favor,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,lt once a year,not very strong,no,catholic,,,moderate,protestant,episcopal,,liberal,protestant,episcopal,,liberal,disapprove,no,agree slightly,cant discriminate,yes,yes,1-3 blks away,stay integrated,no,no,"yes, object",favor,yes,pretty happy,very happy,good,helpful,take advantage,can't be too careful,a fair amount,a little,great deal,a little,a little,only some,only some,hardly any,only some,only some,only some,only some,only some,hardly any,only some,only some,only some,only some,not mentioned,3 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,1 least desirable,not mentioned,3 most desirable,3 most desirable,not mentioned,3 least desirable,not mentioned,sev times a mnth,never,sev times a mnth,never,depends,very satisfied,working class,more or less,worse,average,yes,yes,r and spouse belong,agree,disapprove,yes,agree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,more difficult,not wrong at all,yes,no,yes,no,illegal to all,no,no,,,no,,,no,,,,,,no,,,,,everyday,c,phone in home,cooperative,good,b,c,c,b,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,b,c,b,italy,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,,child,female,c,never married,child,female,c,never married,child,male,c,,child,male,c,,child,male,c,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,1+kids",married couple w children,"2 gens, children",spouse,r. is household member,no visitors,c,c,c,d,c,b,d,cashiers and ticket clerks,"armed forces occupations, other ranks",uncodeable,c,c,b,c,d,c,e,e,e,yes,active part,stay in,c,c,c,c,c,c,c,c,c,c,103,1970 fp,c,7002,1
keeping house,e,e,yes,c,c,someone else,c,not found,d,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,e,no,working fulltime,d,e,,c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,fuel dealers,"not found, coded","not found, assigned",e,e,someone else,c,e,,"not found, no answer","not found, assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,d,b,c,c,b,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",new england,different state,mother & father,,no,,,below average,3,0,0,0,3,c,c,$10000 - 14999,,new england,"suburb, med city","suburb, 13-100",58,c,c,c,c,c,c,c,c,c,c,c,c,e,e,e,e,e,e,strong democrat,voted,,,moderate,about right,too little,too little,too little,about right,about right,about right,too much,about right,too much,too much,favor,favor,about right,disapprove,not legal,catholic,,,moderate,every week,strong,yes,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,disapprove,yes,agree slightly,cant discriminate,yes,yes,same block,stay integrated,no,no,no,,yes,very happy,very happy,excellent,helpful,fair,can't be too careful,great deal,quite a bit,a fair amount,very great deal,very great deal,a great deal,only some,a great deal,a great deal,only some,only some,hardly any,a great deal,only some,a great deal,only some,hardly any,a great deal,3 least desirable,3 most desirable,1 most desirable,3 least desirable,not mentioned,not mentioned,1 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,once a month,once a month,sev times a mnth,never,a good idea,very satisfied,middle class,satisfied,better,above average,no,yes,neither belongs,agree,disapprove,yes,agree,no,no,,,,,c,inappropriate,e,e,available,available,favor,easier,not wrong at all,yes,yes,yes,yes,illegal to all,no,no,,,no,,,no,,,,,,no,,,,,everyday,c,phone in home,"friendly,interested",fair,b,b,d,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,e,c,e,french canada,names 1,none,,male,c,married,,spouse,female,d,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,parent or parent-in-law,female,e,widowed,,,e,,,,e,,,e,white,2nd person,,,"2 gens, parents",spouse,r. is household member,1 visitor,c,d,e,d,c,e,d,product graders and testers (excluding foods and beverages),,heavy truck and lorry drivers,c,c,c,e,e,e,c,c,c,yes,stay out,stay in,d,c,d,c,c,c,c,c,b,c,103,1970 fp,d,7002,1
working fulltime,c,e,,d,e,self-employed,b,not found,e,,"not found, no answer","not found, assigned",e,e,b,"not found, coded","not found, assigned",married,c,no,working fulltime,c,e,,d,b,someone else,c,c,,"not found, coded","not found, assigned",b,b,uncodeable,"not found, no code assigned","not found, not assigned",b,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,b,c,c,b,lt high school,lt high school,lt high school,lt high school,male,white,city gt 250000,foreign,different state,mother & father,,yes,yes,yes,average,3,0,0,1,2,c,d,$15000 - 19999,$10000 - 14999,new england,"suburb, med city","suburb, 13-100",68,e,e,e,e,e,e,d,c,c,b,b,b,c,c,d,c,c,c,not str democrat,voted,nixon,,liberal,about right,too little,too little,too much,too little,too little,too little,,too much,about right,too much,favor,favor,not harsh enough,approve,not legal,jewish,,,liberal,once a month,strong,,jewish,,,liberal,jewish,,,liberal,jewish,,,liberal,approve,yes,agree slightly,owner decides,,,,,no,no,"yes, object",oppose,yes,pretty happy,pretty happy,good,helpful,fair,can't be too careful,great deal,great deal,very great deal,great deal,great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,not mentioned,1 most desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,1 least desirable,sev times a mnth,sev times a mnth,sev times a mnth,never,a bad idea,mod. satisfied,middle class,more or less,stayed same,above average,no,no,spouse belongs,disagree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,not available,favor,more difficult,always wrong,yes,yes,yes,yes,illegal under 18,yes,yes,adult,4+ times,no,,,no,,,,,,yes,no,yes,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,b,c,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,c,not poor,"10,000 to 20,000",c,c,c,c,poland,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,1+kids",married couple w children,"2 gens, children",head of household,r. is household member,no visitors,c,e,b,c,e,d,c,,uncodeable,food service counter attendants,e,e,e,e,e,e,b,c,b,yes,active part,stay in,b,c,c,c,e,b,d,c,c,c,103,1970 fp,c,7002,1
working fulltime,c,e,,b,c,someone else,d,not found,b,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,no,working fulltime,d,e,,b,e,someone else,c,b,,"not found, coded","not found, assigned",e,e,insurance carriers and related activities,"not found, coded","not found, assigned",b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,d,d,e,c,graduate,graduate,graduate,graduate,female,white,town lt 50000,south atlantic,different state,mother & stpfather,"divorce,separated",yes,yes,yes,average,3,1,0,0,2,c,c,$25000 or more,$10000 - 14999,new england,"suburb, med city","suburb, 13-100",68,b,a,c,d,d,d,b,a,c,e,d,e,b,a,d,e,d,e,not str democrat,voted,mcgovern,,slightly liberal,too much,about right,too little,too little,about right,about right,too little,too little,too much,too much,too little,oppose,favor,about right,disapprove,legal,protestant,episcopal,,liberal,nrly every week,not very strong,yes,protestant,baptist-dk which,,fundamentalist,protestant,episcopal,,liberal,protestant,methodist-dk which,,moderate,approve,no,disagree slightly,cant discriminate,no,,,,no,no,"yes, object",oppose,yes,pretty happy,pretty happy,excellent,helpful,fair,can trust,great deal,quite a bit,very great deal,great deal,very great deal,a great deal,a great deal,a great deal,only some,only some,only some,only some,only some,hardly any,only some,a great deal,only some,only some,not mentioned,3 least desirable,not mentioned,3 least desirable,not mentioned,3 most desirable,1 least desirable,not mentioned,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,sev times a year,once a month,once a month,never,a bad idea,very satisfied,middle class,not at all sat,better,above average,no,no,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,uncertain,e,e,available,available,favor,stay same,sometimes wrong,yes,no,no,yes,illegal under 18,yes,no,,,no,,,yes,no,no,no,yes,yes,no,,,,,everyday,c,phone in home,cooperative,good,c,c,d,c,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,e,not poor,"20,001 +",e,c,e,c,england & wales,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,1+kids",married couple w children,"2 gens, children",spouse,r. is household member,no visitors,e,b,b,b,b,b,b,social work and counselling professionals,education managers,psychologists,d,d,c,e,e,d,e,d,d,no,active part,stay in,d,d,d,c,c,d,d,c,c,c,103,1970 fp,c,7002,1
