wrkstat,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,INCOME72,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,CAPPUN2,gunlaw,courts,relig,denom,other,fund,attend,racmar,racdin,racpush,racseg,raclive,racclos,racdis,racinteg,racobjct,racschol,racfew,rachaf,racmost,busing,racpres,racjob,happy,health,helpful,fair,trust,satjob,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,fework,fepres,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,premarsx,news,COOP2,comprend,povline,incdef,realinc,coninc,ethnic,ethnum,workdy,workhr,spdays,sphour,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,cohort,marcohrt,wtssall
working fulltime,,c,b,someone else,c,not found,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,d,self-employed,d,b,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,d,c,e,high school,high school,high school,,male,white,big-city suburb,mountain,"same st,dif city",m and f relatives,above average,3,0,0,c,c,c,c,,mountain,city gt 250000,smsa's 13-100,582,c,c,c,b,b,b,e,e,e,e,e,e,c,c,d,d,c,d,not str democrat,not eligible,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,,"yes,favor",favor,too harsh,none,,,liberal,every week,no,not object,disagree slightly,disagree slightly,yes,no,1-3 blks away,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,not too happy,fair,depends,depends,can't be too careful,,middle class,not at all sat,,above average,,,,,approve,no,,no,,no,no,no,e,uncertain,e,e,sometimes wrong,once a week,cooperative,fair,not poor -- imputed,,e,e,,cannot name any,,,,,d,c,e,c,c,e,stock clerks,business services and administration managers not elsewhere classified,,c,c,c,d,d,d,e,e,e,d,e,c
retired,yes,d,c,self-employed,b,not found,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",widowed,c,no,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,b,c,e,lt high school,lt high school,lt high school,,male,white,farm,w. nor. central,different state,mother & father,average,1,0,0,c,b,e,b,$2000 to $3999,mountain,city gt 250000,smsa's 13-100,582,b,c,b,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near rep",voted,nixon,,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,"yes,favor",oppose,not harsh enough,protestant,methodist-dk which,,moderate,every week,yes,not object,agree slightly,disagree strongly,no,,,,no difference,separate schools,no,"yes, object",,oppose,yes,as good a chance,,fair,helpful,fair,can trust,,working class,,,,,,,,disapprove,yes,yes,no,yes,no,,no,c,inappropriate,e,e,always wrong,few times a week,cooperative,fair,not poor,"1,000 to 4,999",c,b,germany,names 1,,,,,c,c,e,b,b,e,agricultural and forestry production managers,agricultural and forestry production managers,,c,c,c,c,c,c,e,e,e,b,b,b
working fulltime,,b,d,someone else,d,not found,b,,"not found, coded","not found, assigned",c,d,c,"not found, coded","not found, assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,e,self-employed,d,b,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,d,c,e,bachelor,high school,high school,,female,white,town lt 50000,w. nor. central,different state,mother & father,average,1,0,0,c,b,e,c,lt $2000,mountain,city gt 250000,smsa's 13-100,582,c,b,c,c,c,c,e,e,e,e,e,e,c,a,d,d,d,d,"ind,near dem",did not vote,,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,,none,,,liberal,lt once a year,no,not object,disagree strongly,disagree strongly,,,,,no difference,same schools,no,no,no,,yes,as good a chance,pretty happy,good,lookout for self,take advantage,can't be too careful,a little dissat,working class,more or less,stayed same,average,,,,,approve,yes,yes,yes,yes,yes,yes,yes,c,yes,c,e,not wrong at all,once a week,indifferent,good,poor,"-4,999 to -1,000",b,b,,cannot choose 1,mon to fri,reg day,,,b,b,e,b,b,e,early childhood educators,finance managers,,c,d,c,d,d,d,e,e,e,d,e,b
keeping house,yes,c,c,self-employed,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",widowed,d,no,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,c,c,e,high school,lt high school,lt high school,,female,white,farm,e. nor. central,different state,mother & father,average,2,0,1,c,b,c,b,$4000 to $5999,mountain,city gt 250000,smsa's 13-100,582,c,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,not str democrat,voted,wallace,,allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,"no,dont favor",favor,,protestant,presbyterian-dk wh,,liberal,never,yes,not object,disagree slightly,agree slightly,yes,yes,1-3 blks away,stay integrated,no difference,same schools,no,"yes, object",,oppose,yes,as good a chance,pretty happy,fair,helpful,fair,can trust,,middle class,satisfied,stayed same,average,,,,,approve,yes,yes,no,yes,,yes,,c,inappropriate,e,e,always wrong,everyday,cooperative,fair,not poor,"1,000 to 4,999",c,c,,cannot choose 1,,,,,b,c,e,d,b,e,uncodeable,agricultural and forestry production managers,,e,e,e,c,c,c,e,e,e,b,b,b
temp not working,,d,b,someone else,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,b,"not found, coded","not found, assigned",married,c,no,keeping house,yes,c,c,someone else,d,c,,"not found, coded","not found, assigned",c,c,individual and family services,"not found, coded","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,c,b,c,c,c,lt high school,lt high school,lt high school,high school,male,white,farm,w. nor. central,different state,mother & father,average,2,0,0,c,c,c,c,$8000 to $9999,mountain,city gt 250000,smsa's 13-100,582,d,c,c,b,b,b,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,nixon,,not allowed,not allowed,remove,allowed,not allowed,not remove,not allowed,fired,remove,"yes,favor",favor,not harsh enough,protestant,methodist-dk which,,moderate,every week,yes,not object,agree slightly,agree slightly,no,,,,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,pretty happy,good,helpful,fair,can trust,very satisfied,working class,more or less,stayed same,average,,,,,disapprove,yes,yes,yes,yes,yes,yes,no,c,no,e,e,almst always wrg,everyday,cooperative,good,not poor,"5,000 to 9,999",c,c,england & wales,chooses 1 of 2+,,,,,d,c,c,d,b,c,uncodeable,agricultural and forestry production managers,typists and word processing operators,e,e,e,c,c,c,c,c,c,c,c,c
working fulltime,,c,c,someone else,c,not found,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,working fulltime,,c,c,someone else,c,c,,"not found, coded","not found, assigned",b,b,uncodeable,"not found, no code assigned","not found, not assigned",c,b,someone else,c,d,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,c,c,d,high school,lt high school,lt high school,bachelor,male,white,town lt 50000,pacific,different state,mother & father,average,3,0,0,c,c,c,d,$10000 to $12499,mountain,city gt 250000,smsa's 13-100,582,b,c,c,c,c,c,c,c,c,c,b,c,d,c,d,b,b,b,not str republican,did not vote,,humphrey,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,not harsh enough,protestant,other,pentecostal,fundamentalist,more thn once wk,no,not object,agree slightly,disagree strongly,no,,,,no difference,same schools,"yes, object",,,oppose,yes,as good a chance,pretty happy,good,lookout for self,take advantage,can trust,mod. satisfied,working class,more or less,stayed same,average,no,,yes,no,approve,no,yes,no,yes,no,no,no,c,yes,c,c,always wrong,few times a week,cooperative,good,not poor,"5,000 to 9,999",c,c,germany,chooses 1 of 2+,"mon to fri,sat",reg day,mon to fri,reg day,c,d,c,b,d,c,restaurant managers,manufacturing labourers not elsewhere classified,cashiers and ticket clerks,c,c,c,c,c,b,c,c,b,d,d,c
retired,yes,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,yes,school,yes,d,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,offices of physicians,"not found, coded","not found, assigned",d,c,self-employed,d,c,,"not found, coded","not found, assigned",e,d,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,d,c,d,high school,high school,lt high school,high school,male,white,"country,nonfarm",foreign,different state,mother & father,average,3,0,0,c,c,c,b,$6000 to $7999,mountain,city gt 250000,smsa's 13-100,582,c,c,b,c,c,c,c,c,c,c,c,c,d,c,d,c,b,c,strong democrat,voted,humphrey,,not allowed,not allowed,remove,allowed,allowed,not remove,allowed,fired,not remove,"yes,favor",favor,about right,catholic,,,moderate,more thn once wk,no,not object,agree slightly,disagree strongly,yes,yes,same block,stay integrated,"yes,would like it",same schools,no,no,no,oppose,yes,as good a chance,very happy,fair,lookout for self,fair,can trust,,working class,more or less,stayed same,below average,,,,,approve,yes,yes,yes,yes,yes,yes,yes,c,no,e,e,sometimes wrong,everyday,cooperative,fair,not poor,"1,000 to 4,999",c,c,ireland,chooses 1 of 2+,,,,,d,c,b,c,c,c,steam engine and boiler operators,police inspectors and detectives,personal care workers in health services not elsewhere classified,c,c,d,d,d,d,c,c,c,b,c,c
keeping house,yes,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,b,"not found, coded","not found, assigned",married,c,yes,working fulltime,,c,c,self-employed,b,d,,"not found, no code assigned","not found, not assigned",e,e,"structural metals, and boiler, tank, and shipping container manufacturing","not found, coded","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,b,d,c,e,c,c,lt high school,,,lt high school,female,white,town lt 50000,pacific,"same st,dif city",mother & father,average,2,0,0,c,c,c,c,$8000 to $9999,pacific,open country,other rural,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,wallace,,not allowed,not allowed,remove,not allowed,not allowed,not remove,not allowed,fired,remove,"yes,favor",oppose,not harsh enough,protestant,no denomination,,moderate,never,yes,mildly object,agree strongly,agree slightly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,pretty happy,good,helpful,fair,can't be too careful,,working class,satisfied,stayed same,average,no,,yes,yes,disapprove,yes,yes,yes,yes,yes,yes,yes,b,no,e,e,not wrong at all,few times a week,friendly and eager,good,not poor,"5,000 to 9,999",c,c,ireland,names 1,,,mon to fri,reg day,c,c,b,d,b,d,uncodeable,agricultural and forestry production managers,uncodeable,e,e,e,c,c,c,e,e,e,b,b,c
working fulltime,,c,c,someone else,d,not found,d,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,no,working fulltime,,b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,"justice, public order, and safety activities","not found, coded","not found, assigned",c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,d,c,c,c,c,d,high school,lt high school,high school,bachelor,female,white,town lt 50000,pacific,"same st,dif city",mother & father,average,7,1,3,c,c,c,c,$15000 to $17499,pacific,open country,other rural,2,c,c,b,c,c,c,b,c,c,d,d,d,d,c,c,c,b,c,not str democrat,voted,humphrey,,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,fired,not remove,"yes,favor",oppose,not harsh enough,protestant,baptist-dk which,,fundamentalist,once a month,no,mildly object,agree slightly,disagree slightly,no,,,,no difference,same schools,no,"yes, object",,oppose,no,as good a chance,very happy,excellent,helpful,fair,depends,mod. satisfied,middle class,satisfied,better,average,yes,yes,no,,approve,yes,yes,no,yes,no,yes,,d,no,e,e,always wrong,everyday,friendly and eager,good,not poor,"10,000 to 20,000",c,c,england & wales,chooses 1 of 2+,mon to fri,reg day,mon to fri,reg day,d,d,b,c,c,b,bus and tram drivers,heavy truck and lorry drivers,accountants,c,c,c,c,c,c,d,d,d,c,c,c
other,yes,c,c,self-employed,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned",married,c,yes,keeping house,no,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,d,e,,"not found, no answer","not found, assigned",e,e,e,"not found, no answer","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,e,e,e,lt high school,,,,male,white,city gt 250000,pacific,"same st,dif city",m and f relatives,below average,5,0,2,c,c,c,b,$2000 to $3999,pacific,open country,other rural,2,c,c,b,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,independent,did not vote,,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,,not remove,"no,dont favor",oppose,too harsh,none,,,liberal,never,no,not object,agree strongly,agree slightly,yes,no,over 8 blks,stay integrated,no difference,same schools,no,no,"yes, object",,yes,as good a chance,very happy,fair,lookout for self,fair,can't be too careful,,lower class,satisfied,stayed same,below average,,,,,approve,yes,yes,yes,yes,no,,no,d,yes,e,e,not wrong at all,less than once wk,friendly and eager,good,poor,"-4,999 to -1,000",c,b,germany,names 1,,,,,d,e,e,d,e,e,uncodeable,,,e,e,e,e,e,e,e,e,e,c,c,c
working fulltime,,c,c,someone else,d,not found,d,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned",married,c,no,keeping house,yes,c,c,someone else,b,d,,"not found, no code assigned","not found, not assigned",e,e,"communications, and audio and video equipment manufacturing","not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,b,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,c,c,c,c,c,high school,lt high school,lt high school,high school,male,white,"country,nonfarm",pacific,different state,mother & father,average,5,0,2,c,c,c,d,$15000 to $17499,pacific,open country,other rural,2,e,e,e,e,e,e,d,c,c,b,b,c,d,c,c,c,c,c,independent,did not vote,,nixon,allowed,not allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"yes,favor",favor,not harsh enough,protestant,lutheran-dk which,,moderate,once a year,no,not object,agree strongly,disagree strongly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,pretty happy,good,helpful,fair,can trust,very satisfied,middle class,satisfied,stayed same,far above average,yes,yes,yes,yes,disapprove,yes,yes,yes,yes,yes,yes,yes,c,no,e,e,sometimes wrong,everyday,friendly and eager,good,not poor,"10,000 to 20,000",c,c,french canada,chooses 1 of 2+,mon to fri,reg day,,,c,d,d,b,c,d,"armed forces occupations, other ranks",earthmoving and related plant operators,uncodeable,c,c,c,c,b,c,e,e,e,c,c,c
retired,yes,c,c,self-employed,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",married,c,yes,retired,yes,b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,elementary and secondary schools,"not found, coded","not found, assigned",b,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,d,d,c,c,d,high school,lt high school,high school,graduate,male,white,town lt 50000,pacific,same city,mother & father,below average,2,0,0,c,c,c,b,$30000+,pacific,open country,other rural,2,c,c,c,c,c,c,c,a,c,d,c,d,c,c,d,c,c,c,not str democrat,voted,nixon,,allowed,not allowed,remove,allowed,not allowed,not remove,allowed,fired,not remove,"yes,favor",favor,about right,catholic,,,moderate,every week,no,mildly object,agree slightly,disagree strongly,no,,,,no difference,same schools,no,"yes, object",,oppose,yes,as good a chance,very happy,excellent,lookout for self,fair,can't be too careful,,upper class,satisfied,stayed same,above average,,,,,disapprove,no,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,always wrong,everyday,cooperative,fair,not poor,"20,001 +",e,e,england & wales,names 1,,,,,b,b,b,d,d,b,uncodeable,uncodeable,primary school teachers,e,e,e,e,e,e,e,d,d,b,b,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,b,yes,other,yes,c,b,someone else,b,c,,"not found, coded","not found, assigned",b,c,construction,"not found, coded","not found, assigned",b,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,d,c,c,lt high school,high school,lt high school,lt high school,female,white,town lt 50000,pacific,same city,mother & father,above average,4,2,0,c,c,c,c,$6000 to $7999,pacific,open country,other rural,2,e,e,e,e,e,e,d,c,c,b,b,b,c,c,d,c,c,c,not str democrat,not eligible,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,not allowed,fired,not remove,"yes,favor",favor,not harsh enough,protestant,methodist-dk which,,moderate,lt once a year,no,not object,disagree slightly,disagree strongly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,pretty happy,fair,lookout for self,fair,can't be too careful,,working class,not at all sat,better,average,,,,,disapprove,yes,yes,no,yes,no,yes,no,c,no,e,e,sometimes wrong,less than once wk,friendly and eager,fair,not poor,"1,000 to 4,999",c,c,england & wales,names 1,,,,,e,b,d,e,d,d,,uncodeable,building construction labourers,e,e,e,e,e,e,c,b,c,d,d,c
working fulltime,,c,b,someone else,b,not found,c,,"not found, coded","not found, assigned",b,b,d,"not found, no code assigned","not found, not assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,b,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,c,c,e,lt high school,lt high school,lt high school,,male,white,"country,nonfarm",pacific,same city,mother & father,average,3,0,0,c,c,c,c,$20000 to $24999,pacific,open country,other rural,2,d,c,c,a,b,a,e,e,e,e,e,e,d,c,c,b,b,b,strong democrat,voted,humphrey,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,about right,protestant,methodist-dk which,,moderate,once a month,no,not object,disagree strongly,disagree strongly,no,,,,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,pretty happy,excellent,lookout for self,fair,can trust,a little dissat,working class,more or less,stayed same,average,yes,yes,no,,approve,no,yes,yes,yes,no,yes,no,c,yes,c,c,sometimes wrong,everyday,indifferent,fair,not poor,"10,000 to 20,000",d,d,england & wales,chooses 1 of 2+,mon to fri,reg day,,,d,d,e,d,d,e,building construction labourers,uncodeable,,c,b,c,e,e,e,e,e,e,c,e,c
working fulltime,,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,c,c,e,high school,lt high school,lt high school,,male,black,city gt 250000,e. nor. central,same city,mother & father,average,5,0,0,e,c,c,d,$12500 to $14999,e. nor. central,city gt 250000,12 lrgst smsa's,751,c,c,c,c,b,c,e,e,e,e,e,e,d,c,c,b,b,c,strong democrat,did not vote,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,too harsh,protestant,baptist-dk which,,fundamentalist,once a year,,,,,,,,,,same schools,,,,oppose,,,pretty happy,good,lookout for self,fair,can trust,mod. satisfied,working class,more or less,stayed same,above average,yes,yes,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,sometimes wrong,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,africa,names 1,mon to fri,eve,,,c,c,e,d,d,e,uncodeable,uncodeable,,e,e,e,e,e,e,e,e,e,d,e,c
working fulltime,,b,d,someone else,d,not found,b,,"not found, coded","not found, assigned",c,d,c,"not found, coded","not found, assigned",married,c,no,working fulltime,,b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,elementary and secondary schools,"not found, coded","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,c,d,e,d,d,high school,,high school,high school,female,black,city gt 250000,e. nor. central,same city,mother,average,4,1,1,c,c,c,c,$10000 to $12499,e. nor. central,city gt 250000,12 lrgst smsa's,751,c,b,c,c,c,c,c,a,c,d,c,d,e,e,e,e,e,e,"ind,near dem",voted,humphrey,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,not harsh enough,protestant,episcopal,,liberal,sevrl times a yr,,,,,,,,,,same schools,,,,oppose,,,pretty happy,good,helpful,fair,can trust,very satisfied,middle class,more or less,stayed same,average,yes,yes,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,no,e,e,not wrong at all,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,africa,names 1,mon to fri,reg day,mon to fri,reg day,b,e,b,b,e,b,early childhood educators,,primary school teachers,c,d,c,e,e,e,e,d,d,c,d,c
working fulltime,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,yes,working fulltime,,c,c,someone else,b,d,,"not found, no code assigned","not found, not assigned",e,e,miscellaneous fabricated metal products manufacturing,"not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,e,e,c,high school,lt high school,lt high school,lt high school,female,black,city gt 250000,e. nor. central,same city,m and f relatives,average,3,1,0,c,c,c,c,$10000 to $12499,e. nor. central,city gt 250000,12 lrgst smsa's,751,b,b,c,c,d,c,c,c,a,c,c,c,d,c,c,c,c,c,strong democrat,voted,humphrey,,not allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",,not harsh enough,protestant,baptist-dk which,,fundamentalist,2-3x a month,,,,,,,,,,same schools,,,,oppose,,,pretty happy,good,lookout for self,take advantage,can trust,very satisfied,working class,more or less,worse,average,yes,yes,yes,no,approve,,yes,no,yes,no,yes,no,c,no,e,e,not wrong at all,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,africa,names 1,mon to fri,reg day,mon to fri,reg day,c,c,d,b,c,d,shop supervisors,welders and flamecutters,uncodeable,c,c,c,c,c,c,e,e,e,c,c,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,c,no,working fulltime,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,wired telecommunications carriers,"not found, coded","not found, assigned",d,c,someone else,d,c,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,b,c,c,c,c,junior college,high school,high school,high school,female,black,city gt 250000,e. nor. central,same city,mother & father,average,3,1,0,c,c,c,c,$6000 to $7999,e. nor. central,city gt 250000,12 lrgst smsa's,751,e,e,e,e,e,e,b,c,c,c,c,c,c,c,d,c,c,c,not str democrat,voted,humphrey,,allowed,,not remove,allowed,,not remove,allowed,not fired,not remove,"yes,favor",favor,about right,protestant,other,churches of god(except with christ and holiness),fundamentalist,once a month,,,,,,,,,,same schools,,,,favor,,,pretty happy,good,,depends,can't be too careful,,working class,more or less,stayed same,average,yes,yes,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,yes,c,c,not wrong at all,everyday,friendly and eager,good,not poor,"1,000 to 4,999",c,c,africa,names 1,,,mon to fri,varies,e,c,c,e,c,c,,police officers,protective services workers not elsewhere classified,e,e,e,d,d,d,c,c,c,d,d,c
working fulltime,,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,someone else,c,e,,"not found, no answer","not found, assigned",e,e,b,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,b,b,c,e,c,e,high school,lt high school,high school,,female,black,city gt 250000,e. nor. central,same city,mother & father,average,4,0,0,c,e,c,e,$20000 to $24999,e. nor. central,city gt 250000,12 lrgst smsa's,751,c,c,c,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,strong democrat,did not vote,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"yes,favor",oppose,not harsh enough,protestant,baptist-dk which,,fundamentalist,sevrl times a yr,,,,,,,,,,same schools,,,,,,,pretty happy,excellent,lookout for self,take advantage,can't be too careful,mod. satisfied,working class,not at all sat,stayed same,average,yes,yes,no,,approve,yes,yes,no,yes,no,,no,c,inappropriate,e,e,not wrong at all,less than once wk,friendly and eager,good,not poor,"10,000 to 20,000",d,d,africa,names 1,mon to fri,reg day,,,c,e,e,d,e,e,uncodeable,,,e,e,e,e,e,e,e,e,e,d,e,e
