wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun,gunlaw,courts,courtsy,wirtap,relig,denom,other,fund,attend,reliten,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,prayery,racmar,racdin,raclive,racclos,racdis,racinteg,rachome,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,life,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,getahead,fehome,fework,fepres,fepol,fepoly,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,xmarsex,homosex,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,commun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,wtssall
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,b,yes,working fulltime,c,e,,c,c,someone else,c,b,verbatims for sp,"found, coded",found,e,d,wired telecommunications carriers,"found, coded",found,d,b,someone else,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,c,e,e,c,lt high school,,,lt high school,female,white,farm,mountain,different state,m and f relatives,parent died,,,,below average,c,c,c,c,c,c,c,$15000 - 19999,,pacific,"suburb, lrg city","suburb, 12 lrgst",27,c,c,c,c,c,c,b,b,c,d,d,d,d,c,c,b,b,a,not str republican,voted,nixon,,moderate,too much,too little,too much,too much,too little,,too much,too much,too much,too much,too much,allowed,allowed,not remove,allowed,not allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,favor,oppose,,not harsh enough,approve,protestant,other,christian scientist,fundamentalist,lt once a year,not very strong,protestant,presbyterian-dk wh,,liberal,protestant,no denomination,,moderate,catholic,,,moderate,,forbidden,no,not object,yes,no,same block,all black,no,no,no,"yes, object",oppose,yes,pretty happy,pretty happy,good,exciting,quite a bit,great deal,great deal,very great deal,very great deal,only some,hardly any,hardly any,a great deal,hardly any,hardly any,a great deal,hardly any,only some,a great deal,only some,a great deal,sev times a year,never,sev times a year,never,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,very satisfied,,fourth,third,fifth,second,most impt,middle class,more or less,stayed same,average,yes,yes,yes,no,no,no,both equally,agree,disapprove,yes,,equal,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,more difficult,not wrong at all,always wrong,not wrong at all,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,c,not poor,"10,000 to 20,000",c,e,c,e,american only,chooses 1 of 2+,none,,correct,correct,,correct,correct,correct,incorrect,correct,correct,incorrect,c,c,c,c,c,d,b,general office clerks,crop farm labourers,electrical engineers,c,c,c,b,b,b,e,d,e,worst kind,b,a,a,c,a,b,a,b,c,c,165,c
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,d,d,air transportation,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,c,lt high school,,lt high school,high school,female,white,city gt 250000,middle atlantic,different state,mother & stpfather,parent died,yes,yes,no,average,c,c,c,c,c,c,c,$20000 - 24999,$7000 to 7999,pacific,"suburb, lrg city","suburb, 12 lrgst",27,d,c,b,c,b,c,c,c,b,c,c,c,c,c,c,c,c,c,strong democrat,did not vote,,mcgovern,slightly liberal,,too little,too little,too much,,,too little,too much,too much,too much,too little,allowed,not allowed,not remove,not allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,favor,favor,not harsh enough,,disapprove,catholic,,,moderate,once a year,not very strong,catholic,,,moderate,none,,,liberal,none,,,liberal,disapprove,,no,mildly object,no,,,,no,no,no,"yes, object",oppose,yes,very happy,very happy,excellent,routine,a fair amount,none,great deal,great deal,great deal,only some,only some,a great deal,hardly any,only some,only some,a great deal,only some,only some,a great deal,only some,only some,never,sev times a mnth,once a month,never,agree,disagree,disagree,disagree,disagree,disagree,agree,agree,disagree,mod. satisfied,continue working,second,fourth,fifth,third,most impt,working class,more or less,stayed same,average,yes,yes,no,,yes,no,luck or help,disagree,approve,no,disagree,,yes,no,yes,yes,yes,yes,c,no,e,e,available,available,favor,stay same,not wrong at all,always wrong,always wrong,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"10,000 to 20,000",c,c,d,c,england & wales,names 1,none,,,correct,,correct,correct,correct,incorrect,,correct,incorrect,c,c,c,d,c,c,c,telephone switchboard operators,agricultural and industrial machinery mechanics and repairers,aircraft engine mechanics and repairers,c,c,c,c,c,c,c,c,c,ok for some,d,a,d,c,e,b,a,c,c,c,165,c
working fulltime,c,e,,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,never married,e,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,b,c,someone else,d,c,verbatims for pa,"found, coded",found,c,d,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,c,c,c,e,high school,high school,lt high school,,female,white,big-city suburb,pacific,same city,father & stpmother,parent died,,,,below average,c,c,c,c,c,e,c,$15000 - 19999,$8000 to 9999,pacific,"suburb, lrg city","suburb, 12 lrgst",27,c,c,b,c,c,c,e,e,e,e,e,e,c,b,d,c,c,c,"ind,near dem",voted,,,moderate,too much,too little,,too much,too little,about right,about right,too much,about right,too much,too much,allowed,not allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,favor,favor,,,disapprove,catholic,,,moderate,once a year,not very strong,catholic,,,moderate,,,,,,,,,,,no,mildly object,no,,,,no,no,no,"yes, object",oppose,yes,not too happy,,poor,exciting,great deal,great deal,a little,quite a bit,a little,,only some,only some,hardly any,a great deal,hardly any,a great deal,,,a great deal,hardly any,a great deal,sev times a week,sev times a week,sev times a mnth,once a month,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,very dissatisfied,continue working,second,most impt,fourth,third,fifth,working class,satisfied,better,above average,yes,yes,no,,no,no,hard work,disagree,approve,,,men,yes,yes,yes,yes,yes,yes,c,yes,c,b,available,available,favor,more difficult,not wrong at all,sometimes wrong,,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,d,not poor,"10,000 to 20,000",c,c,c,c,italy,chooses 1 of 2+,none,,correct,correct,incorrect,correct,correct,,,incorrect,correct,correct,c,d,c,e,d,c,e,bus and tram drivers,real estate agents and property managers,,c,c,c,c,d,c,e,e,e,good form,c,e,c,c,c,c,b,c,d,e,165,c
working fulltime,c,e,,c,c,self-employed,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,c,high school,,high school,high school,male,white,50000 to 250000,pacific,same city,mother,parent died,,,,above average,c,c,d,c,c,c,c,$15000 - 19999,$15000 - 19999,pacific,"suburb, lrg city","suburb, 12 lrgst",25,b,c,c,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,"ind,near rep",voted,nixon,,liberal,,about right,about right,,too little,about right,,,too much,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,,,,favor,oppose,,not harsh enough,disapprove,none,,,liberal,never,no religion,protestant,presbyterian-dk wh,,liberal,protestant,no denomination,,moderate,protestant,no denomination,,moderate,,,no,not object,,,,,no,no,,,oppose,no,pretty happy,very happy,good,routine,some,a little,a fair amount,quite a bit,quite a bit,hardly any,,only some,hardly any,hardly any,,,only some,hardly any,,hardly any,only some,sev times a mnth,sev times a week,sev times a week,sev times a week,disagree,disagree,disagree,disagree,agree,disagree,disagree,agree,,mod. satisfied,continue working,most impt,fourth,second,fifth,third,working class,satisfied,stayed same,above average,no,,yes,yes,no,yes,both equally,disagree,approve,,,,yes,,yes,,yes,,c,no,e,e,available,available,favor,,not wrong at all,always wrong,,no,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,d,c,d,england & wales,names 1,none,,correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,c,c,e,e,b,e,e,shop supervisors,,,c,c,c,e,e,e,e,e,e,"bad, not worst",c,c,c,c,e,c,c,b,c,c,165,c
retired,e,e,yes,c,c,someone else,b,found,d,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,d,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,b,someone else,c,d,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,d,c,a,a,c,lt high school,lt high school,lt high school,lt high school,male,white,50000 to 250000,middle atlantic,different state,mother & father,,no,,,above average,c,c,c,c,c,c,b,$5000 to 5999,,pacific,"suburb, lrg city","suburb, 12 lrgst",25,c,c,a,c,d,c,e,e,e,e,e,e,d,c,c,a,a,b,strong democrat,voted,mcgovern,,slightly liberal,too much,,too little,too much,too much,about right,about right,too much,too much,too much,too much,allowed,allowed,not remove,not allowed,not allowed,not remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,favor,not harsh enough,,approve,catholic,,,moderate,2-3x a month,somewhat strong,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,disapprove,,yes,not object,yes,no,1-3 blks away,all black,no,no,no,no,oppose,yes,very happy,very happy,good,routine,great deal,great deal,great deal,great deal,great deal,hardly any,a great deal,a great deal,hardly any,only some,,only some,a great deal,hardly any,hardly any,only some,only some,sev times a mnth,never,sev times a mnth,never,disagree,agree,disagree,disagree,agree,agree,agree,agree,agree,,,second,fifth,fourth,third,most impt,middle class,not at all sat,worse,below average,,,,,yes,yes,both equally,agree,disapprove,yes,disagree,,no,no,no,no,no,no,c,inappropriate,e,e,not available,not available,favor,more difficult,always wrong,always wrong,always wrong,no,no,no,no,no,no,no,yes,no,phone in home,"restless,impatient",fair,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,italy,names 1,none,,correct,correct,,correct,correct,incorrect,,,correct,incorrect,c,d,d,e,c,d,e,welders and flamecutters,manufacturing labourers not elsewhere classified,,c,b,c,c,c,b,e,e,e,worst kind,c,c,b,c,c,c,c,c,b,b,165,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,a,verbatims for sp,"found, coded",found,c,c,"textile product mills, except carpet and rug","found, coded",found,b,c,self-employed,d,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,b,c,c,e,c,high school,high school,high school,high school,female,white,50000 to 250000,pacific,"same st,dif city",mother & father,,,,,above average,c,c,c,c,c,c,c,$10000 - 14999,,pacific,"suburb, lrg city","suburb, 12 lrgst",25,e,e,e,e,e,e,b,b,c,d,d,d,c,c,d,c,c,c,independent,voted,nixon,,,,about right,,about right,too little,about right,too little,too much,,,too much,allowed,allowed,not remove,allowed,allowed,,,fired,remove,allowed,allowed,not remove,favor,favor,not harsh enough,,,none,,,liberal,never,no religion,none,,,liberal,none,,,liberal,catholic,,,moderate,approve,,,mildly object,no,,,,no,no,"yes, object",,oppose,yes,very happy,very happy,excellent,routine,quite a bit,very great deal,very great deal,very great deal,very great deal,hardly any,hardly any,a great deal,only some,only some,only some,a great deal,a great deal,only some,only some,only some,only some,sev times a mnth,never,once a month,never,disagree,disagree,disagree,disagree,agree,disagree,disagree,agree,,very satisfied,,third,fifth,second,fourth,most impt,middle class,more or less,stayed same,average,yes,no,no,,yes,no,hard work,disagree,approve,yes,disagree,,yes,no,yes,,yes,no,c,yes,c,c,available,available,favor,more difficult,not wrong at all,always wrong,other,no,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,e,c,e,germany,names 1,none,,correct,correct,,correct,,correct,,,correct,,c,e,c,c,e,c,b,,insurance representatives,manufacturing managers,e,e,e,c,d,c,d,c,d,"bad, not worst",c,e,c,c,c,c,e,e,d,d,165,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,"electric and gas, and other combinations","found, coded",found,d,b,someone else,d,c,verbatims for pa,"found, coded",found,b,b,d,"found, coded",found,"found, iap",found,"found, iap",found,e,c,c,c,c,c,c,high school,lt high school,lt high school,high school,female,white,"country,nonfarm",w. nor. central,different state,mother & father,,no,,,below average,c,c,c,c,c,c,c,$10000 - 14999,,pacific,"suburb, lrg city","suburb, 12 lrgst",25,e,e,e,e,e,e,c,c,c,c,b,c,d,c,c,c,b,b,"ind,near dem",voted,mcgovern,,,too much,about right,too little,,,,,,too little,too much,,allowed,not allowed,not remove,allowed,,not remove,allowed,,not remove,allowed,allowed,not remove,,favor,,not harsh enough,disapprove,protestant,baptist-dk which,,fundamentalist,every week,not very strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,required,yes,not object,no,,,,yes,no,no,no,oppose,no,very happy,pretty happy,good,routine,great deal,great deal,great deal,great deal,great deal,only some,only some,only some,hardly any,only some,only some,only some,hardly any,,only some,,hardly any,sev times a week,sev times a week,sev times a year,sev times a year,disagree,disagree,disagree,disagree,agree,agree,agree,agree,disagree,mod. satisfied,,fourth,third,fifth,second,most impt,working class,not at all sat,stayed same,,yes,yes,yes,no,no,no,both equally,disagree,approve,no,,equal,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,stay same,sometimes wrong,always wrong,always wrong,yes,yes,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"5,000 to 9,999",c,e,c,e,,cannot choose 1,none,,correct,correct,,correct,correct,correct,,,correct,incorrect,c,e,c,c,e,d,c,,"cleaners and helpers in offices, hotels and other establishments",manufacturing supervisors,e,e,e,b,c,b,c,c,c,"bad, not worst",c,c,d,c,e,e,c,b,c,c,165,c
working fulltime,c,e,,b,d,someone else,c,found,c,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,working fulltime,c,e,,b,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,not specified utilities,"found, coded",found,a,e,someone else,c,b,verbatims for pa,"found, coded",found,e,e,d,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,e,junior college,graduate,lt high school,graduate,female,white,big-city suburb,pacific,"same st,dif city",mother & father,,yes,yes,no,below average,d,c,e,c,c,c,c,$25000 or more,$8000 to 9999,pacific,"suburb, lrg city","suburb, 12 lrgst",25,c,c,c,c,d,c,b,c,c,d,d,d,b,c,c,e,d,e,strong republican,voted,nixon,,conservative,too much,too little,about right,too little,too little,too little,too little,too little,too much,too much,too much,allowed,not allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,favor,favor,,not harsh enough,approve,catholic,,,moderate,every week,strong,catholic,,,moderate,catholic,,,moderate,protestant,presbyterian-dk wh,,liberal,,local decision,no,not object,,,,,yes,no,no,no,oppose,yes,very happy,very happy,excellent,exciting,very great deal,great deal,very great deal,very great deal,very great deal,a great deal,a great deal,a great deal,hardly any,hardly any,a great deal,a great deal,,hardly any,a great deal,hardly any,a great deal,once a year,sev times a week,sev times a week,never,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,very satisfied,stop working,third,fourth,fifth,second,most impt,middle class,satisfied,better,above average,yes,yes,yes,no,no,no,hard work,disagree,approve,yes,,men,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,stay same,always wrong,always wrong,always wrong,no,yes,no,yes,no,no,yes,yes,no,phone in home,"friendly,interested",good,alternate <y>,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,e,not poor,"20,001 +",e,c,e,c,germany,chooses 1 of 2+,2 to 4  years,army,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,c,b,a,b,b,c,c,nursing professionals,mechanical engineers,information and communications technology operations technicians,e,d,d,e,e,e,c,c,c,"bad, not worst",c,d,b,c,b,b,c,c,c,c,165,c
retired,e,e,yes,d,b,someone else,d,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,c,someone else,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,c,c,c,e,lt high school,lt high school,lt high school,,male,black,city gt 250000,w. sou. central,same city,mother & stpfather,"divorce,separated",yes,yes,yes,below average,b,c,c,c,b,e,c,$7000 to 7999,$7000 to 7999,pacific,city gt 250000,12 lrgst smsa's,362,c,c,c,c,c,b,e,e,e,e,e,e,c,c,b,c,c,c,"ind,near rep",voted,nixon,,moderate,too much,,about right,too little,too little,too little,too little,too little,,,too little,allowed,allowed,remove,allowed,allowed,remove,allowed,fired,remove,allowed,allowed,remove,,favor,,too harsh,disapprove,protestant,baptist-dk which,,fundamentalist,sevrl times a yr,not very strong,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,local decision,,,,,,,,,,,favor,yes,not too happy,,fair,routine,great deal,a fair amount,none,great deal,a fair amount,only some,only some,only some,only some,only some,only some,a great deal,only some,only some,hardly any,hardly any,only some,once a month,never,never,sev times a year,disagree,agree,disagree,,disagree,,agree,agree,agree,,,fourth,fifth,second,third,most impt,working class,more or less,worse,average,,,,,no,yes,both equally,disagree,approve,yes,,women,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,stay same,not wrong at all,always wrong,,no,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",fair,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,germany,names 1,none,,correct,correct,,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,c,c,c,e,d,b,e,"cleaners and helpers in offices, hotels and other establishments",agricultural and forestry production managers,,c,b,c,c,c,c,e,e,e,"bad, not worst",b,c,b,c,c,d,c,c,c,c,165,b
retired,e,e,yes,d,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,divorced,b,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,e,c,c,b,e,c,e,lt high school,lt high school,high school,,male,black,town lt 50000,w. sou. central,different state,mother & stpfather,parent died,yes,yes,yes,average,c,c,c,c,c,e,c,$15000 - 19999,$15000 - 19999,pacific,city gt 250000,12 lrgst smsa's,362,c,c,b,c,c,c,e,e,e,e,e,e,c,b,c,c,c,c,strong democrat,voted,mcgovern,,moderate,too much,,too little,too little,too little,too little,too little,too little,too much,too little,too little,not allowed,not allowed,not remove,allowed,not allowed,not remove,not allowed,fired,not remove,not allowed,not allowed,not remove,favor,oppose,not harsh enough,,disapprove,protestant,methodist-dk which,,moderate,once a year,not very strong,protestant,methodist-dk which,,moderate,,,,,,,,,disapprove,,,,,,,,,,,,favor,yes,not too happy,,good,routine,a fair amount,great deal,none,great deal,great deal,only some,only some,a great deal,only some,only some,only some,only some,only some,only some,only some,only some,only some,sev times a mnth,sev times a year,once a month,once a year,disagree,,disagree,disagree,agree,agree,disagree,agree,agree,,,most impt,fifth,third,second,fourth,middle class,satisfied,better,average,,,,,no,no,luck or help,agree,approve,no,agree,,yes,no,yes,no,,no,c,inappropriate,e,e,not available,not available,oppose,stay same,always wrong,always wrong,,yes,no,no,no,no,no,no,no,yes,phone in home,"friendly,interested",fair,standard <x>,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,d,c,d,,cannot name any,none,,correct,correct,,correct,correct,correct,,,correct,,c,c,c,e,c,c,e,chefs,motor vehicle mechanics and repairers,,c,c,c,c,c,d,e,e,e,,c,b,c,a,c,c,c,c,c,b,165,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,separated,d,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,e,lt high school,lt high school,lt high school,,female,black,50000 to 250000,pacific,same city,mother & father,,yes,no,no,below average,c,c,c,c,c,c,b,$1000 to 2999,,pacific,city gt 250000,12 lrgst smsa's,362,e,e,e,e,e,e,e,e,e,e,e,e,d,c,c,c,c,c,not str democrat,voted,mcgovern,,conservative,too much,too little,too little,too much,too little,too little,too much,too little,too much,too much,too little,,,,allowed,allowed,,allowed,not fired,,allowed,,,favor,favor,,,disapprove,protestant,baptist-dk which,,fundamentalist,2-3x a month,not very strong,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,local decision,,,,,,,,,,,favor,yes,not too happy,,fair,routine,a fair amount,great deal,great deal,great deal,a fair amount,only some,hardly any,,hardly any,only some,only some,only some,only some,,,only some,only some,sev times a week,never,sev times a mnth,sev times a year,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,a little dissat,,fourth,third,fifth,second,most impt,lower class,not at all sat,worse,far below average,,,,,yes,yes,hard work,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,easier,always wrong,always wrong,,yes,yes,no,no,no,no,no,yes,no,phone in home,cooperative,fair,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,poor,"-4,999 to -1,000",b,e,b,e,,cannot name any,none,,incorrect,correct,incorrect,correct,correct,,,,correct,incorrect,c,e,c,e,e,c,e,,manufacturing labourers not elsewhere classified,,e,e,e,c,c,c,e,e,e,"bad, not worst",c,b,c,c,c,c,c,c,c,c,165,c
retired,e,e,yes,c,b,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,d,"found, coded",found,widowed,b,yes,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,b,someone else,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,b,e,c,b,e,e,lt high school,lt high school,,,female,black,farm,w. sou. central,different state,mother & father,,yes,yes,no,average,b,c,c,c,b,e,c,$1000 to 2999,,pacific,city gt 250000,12 lrgst smsa's,362,d,c,b,b,b,b,e,e,e,e,e,e,d,c,c,b,b,a,strong democrat,voted,mcgovern,,,too little,too little,too little,,too little,too little,too little,too little,,,,allowed,,,,,,not allowed,,not remove,,,,oppose,favor,,,disapprove,protestant,baptist-dk which,,fundamentalist,nrly every week,strong,protestant,baptist-dk which,,fundamentalist,,,,,,,,,disapprove,,,,,,,,,,,,favor,yes,not too happy,,fair,routine,a fair amount,a fair amount,none,some,some,hardly any,only some,only some,only some,,only some,,only some,,,,only some,sev times a mnth,once a month,once a month,never,agree,agree,disagree,agree,agree,agree,,agree,agree,,,third,fourth,fifth,second,most impt,lower class,more or less,worse,below average,,,,,no,yes,hard work,disagree,approve,no,agree,,no,no,no,no,no,no,c,inappropriate,e,e,not available,not available,oppose,easier,always wrong,always wrong,always wrong,yes,no,no,no,no,no,no,no,no,phone in home,cooperative,poor,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,,,b,e,b,e,,cannot name any,none,,correct,correct,,correct,,incorrect,,,correct,,c,c,c,e,c,b,e,sales workers not elsewhere classified,agricultural and forestry production managers,,c,c,c,c,c,c,e,e,e,"bad, not worst",c,b,b,b,c,c,c,c,e,e,165,b
