,ideology
0,-0.004879080742654468
1,0.2543679218109608
2,0.02451611320706298
3,-0.013819728421344121
4,0.06495747563927387
5,0.10009235189114947
6,0.08571387118798249
7,0.250626461285952
8,0.21917205786495
9,0.43111673720761085
