gssvar,s,q,r
ptsd1,5,2,3
ptsd2,2,,3
ptsd3,5,2,3
ptsd4,2,,4
ptsd8,3,,1
ptsd10,1,1,1
ptsd11,2,1,1
ptsd20,1,,4
ptsd21,1,2,1
ptsd22,1,1,3
ptsd35,1,1,1
ptsd38,2,,1
ptsd39,3,3,1
ptsd41,2,4,1
ptsd42,3,2,3
ptsd49,2,4,3
ptsd51,1,1,4
ptsd53,1,3,4
ptsd54,1,,3
ptsd57,4,2,4
ptsd59,4,,3
ptsd61,3,,5
ptsd63,1,1,4
ptsd67,4,1,2
ptsd69,1,,4
ptsd70,2,1,2
ptsd71,2,4,4
ptsd72,2,,3
ptsd76,1,2,3
ptsd79,3,,1
ptsd81,3,5,3
ptsd82,2,,1
ptsd83,1,1,1
ptsd84,1,2,1
ptsd89,1,1,5
ptsd93,2,2,1
ptsd94,3,,3
ptsd98,1,3,4
ptsd101,2,5,4
ptsd102,2,,2
ptsd105,3,2,2
ptsd106,3,,2
ptsd108,1,1,2
ptsd112,3,3,5
ptsd113,2,3,4
ptsd114,1,1,3
ptsd115,2,1,1
ptsd117,4,1,3
ptsd120,3,1,2
ptsd122,2,1,1
ptsd123,3,4,3
ptsd127,2,3,3
ptsd129,1,1,1
ptsd132,1,2,2
ptsd134,1,1,2
ptsd136,1,1,1
ptsd141,1,3,2
ptsd143,1,4,1
ptsd146,1,3,5
ptsd149,1,2,1
ptsd150,1,1,3
ptsd155,1,1,3
ptsd157,1,3,4
ptsd160,1,,3
ptsd161,1,1,1
ptsd162,1,1,3
ptsd163,1,5,3
ptsd164,2,2,3
ptsd166,1,1,2
ptsd169,1,2,5
ptsd171,2,,4
ptsd173,2,4,1
ptsd176,1,1,5
ptsd177,2,2,3
ptsd178,1,,4
ptsd180,2,2,2
ptsd181,2,1,4
ptsd185,1,1,2
ptsd187,1,1,1
ptsd189,1,3,1
ptsd190,1,1,4
ptsd191,1,,1
ptsd198,1,1,2
ptsd200,3,,3
ptsd202,2,2,5
ptsd203,2,5,3
ptsd204,2,3,5
ptsd206,2,3,2
ptsd207,2,2,3
