gssvar,s,q,r
ptsd2,2,1,3
ptsd6,4,,3
ptsd7,4,4,3
ptsd9,1,2,2
ptsd10,3,1,3
ptsd11,3,,2
ptsd12,4,2,3
ptsd14,4,2,4
ptsd16,4,1,1
ptsd18,4,,3
ptsd19,4,4,1
ptsd20,1,2,3
ptsd24,3,2,2
ptsd28,4,2,3
ptsd31,4,1,5
ptsd32,4,3,5
ptsd34,4,1,2
ptsd36,4,,3
ptsd43,2,5,4
ptsd44,5,2,3
ptsd45,2,3,5
ptsd46,2,1,2
ptsd50,4,2,3
ptsd51,3,3,1
ptsd52,4,4,1
ptsd54,2,1,4
ptsd55,3,3,2
ptsd56,3,4,1
ptsd58,4,,4
ptsd59,3,,3
ptsd60,5,2,3
ptsd63,1,1,3
ptsd67,1,,3
ptsd71,4,,1
ptsd72,5,3,1
ptsd73,4,4,1
ptsd74,4,2,5
ptsd77,5,5,4
ptsd80,5,3,1
ptsd83,4,,4
ptsd84,4,3,4
ptsd87,3,,2
ptsd88,3,1,4
ptsd91,4,3,2
ptsd92,3,1,3
ptsd96,4,,5
ptsd101,4,,4
ptsd102,4,1,3
ptsd104,4,5,1
ptsd105,4,2,1
ptsd106,4,3,1
ptsd107,4,,2
ptsd109,3,,3
ptsd110,4,,3
ptsd115,1,,2
ptsd120,3,1,4
ptsd124,4,3,3
ptsd125,3,,1
ptsd126,4,4,1
ptsd128,3,,2
ptsd129,2,2,4
ptsd132,4,,5
ptsd135,4,,1
ptsd136,4,4,3
ptsd137,4,3,3
ptsd139,3,1,2
ptsd142,4,4,3
ptsd144,3,2,4
ptsd146,3,,1
ptsd149,2,2,3
ptsd150,4,2,3
ptsd151,1,4,3
ptsd153,3,,5
ptsd154,4,3,2
ptsd155,4,2,1
ptsd156,4,3,5
ptsd158,3,,3
ptsd160,5,,2
ptsd163,2,4,2
ptsd167,3,1,3
ptsd170,3,4,2
ptsd171,3,4,2
ptsd172,3,,5
ptsd173,3,,3
ptsd175,4,2,5
ptsd176,4,1,2
ptsd180,3,2,1
ptsd182,3,2,1
ptsd183,2,,3
ptsd184,2,1,2
ptsd186,2,2,4
ptsd188,4,1,1
ptsd189,3,,2
ptsd190,1,,1
ptsd191,2,3,3
ptsd192,4,3,4
ptsd194,3,,5
ptsd198,4,2,5
ptsd200,4,,3
ptsd201,3,,3
ptsd202,4,,4
ptsd203,4,4,5
ptsd206,5,4,4
ptsd208,3,1,4
ptsd209,4,1,2
ptsd211,4,2,1
