gssvar,s,q,r
ptsd2,2,1,3
ptsd3,2,,3
ptsd4,4,1,1
ptsd5,2,,3
ptsd7,2,4,2
ptsd9,1,3,1
ptsd10,3,,1
ptsd11,2,1,1
ptsd13,4,1,4
ptsd16,5,4,1
ptsd17,2,2,3
ptsd18,5,,1
ptsd20,4,3,3
ptsd23,2,1,3
ptsd26,1,2,1
ptsd27,1,2,3
ptsd28,4,1,2
ptsd30,3,4,2
ptsd32,2,5,5
ptsd34,4,2,4
ptsd37,4,3,2
ptsd39,4,4,4
ptsd40,4,4,3
ptsd42,3,2,3
ptsd45,1,3,5
ptsd46,1,1,2
ptsd54,1,1,3
ptsd55,5,3,4
ptsd56,2,,1
ptsd57,5,5,2
ptsd60,2,,4
ptsd62,1,1,3
ptsd65,4,,3
ptsd66,3,3,3
ptsd67,4,,3
ptsd69,3,3,3
ptsd70,3,3,1
ptsd71,1,1,1
ptsd73,4,2,1
ptsd79,5,3,5
ptsd80,3,,4
ptsd81,1,,1
ptsd83,1,2,4
ptsd87,4,,4
ptsd89,2,1,2
ptsd92,2,3,1
ptsd93,2,1,3
ptsd95,4,,3
ptsd96,2,,5
ptsd97,1,,4
ptsd99,4,4,1
ptsd103,2,,3
ptsd104,5,5,1
ptsd105,4,,1
ptsd106,2,,1
ptsd109,4,,1
ptsd110,4,,1
ptsd111,4,,3
ptsd112,1,1,2
ptsd116,1,1,2
ptsd117,2,1,3
ptsd118,1,1,4
ptsd119,2,2,1
ptsd121,1,1,3
ptsd122,1,,4
ptsd123,4,,2
ptsd124,4,1,3
ptsd126,4,2,1
ptsd127,4,1,3
ptsd128,1,1,1
ptsd129,1,2,3
ptsd130,2,,1
ptsd133,5,,3
ptsd135,1,4,3
ptsd137,1,3,3
ptsd138,2,1,3
ptsd139,2,3,3
ptsd142,1,1,2
ptsd146,3,2,1
ptsd147,4,3,5
ptsd148,4,,3
ptsd149,5,,2
ptsd151,1,1,2
ptsd152,1,1,2
ptsd153,3,4,3
ptsd154,3,3,2
ptsd157,2,,3
ptsd159,2,,5
ptsd160,3,2,3
ptsd161,2,1,5
ptsd162,1,1,2
ptsd163,1,5,3
ptsd164,4,,3
ptsd167,4,,3
ptsd168,5,1,2
ptsd172,4,1,2
ptsd174,5,,4
ptsd175,1,,4
ptsd176,5,,5
ptsd177,1,3,1
ptsd178,4,2,1
ptsd179,3,3,2
ptsd183,5,1,5
ptsd191,1,,1
ptsd194,5,,3
ptsd197,2,,4
ptsd201,5,1,5
ptsd204,5,2,4
ptsd206,2,1,4
ptsd210,5,4,2
ptsd211,5,2,1
