gssvar,s,q,r
ptsd1,3,4,3
ptsd4,1,,2
ptsd5,1,1,1
ptsd7,1,2,3
ptsd8,4,4,2
ptsd10,1,,3
ptsd11,2,1,2
ptsd12,4,3,3
ptsd13,2,2,4
ptsd15,1,,1
ptsd16,2,3,3
ptsd17,1,2,1
ptsd20,1,,3
ptsd21,1,1,3
ptsd22,1,,1
ptsd23,1,,5
ptsd25,2,1,3
ptsd28,3,2,4
ptsd35,2,1,2
ptsd36,4,3,3
ptsd37,3,2,2
ptsd38,2,1,2
ptsd39,2,,4
ptsd42,3,,1
ptsd44,4,4,5
ptsd46,2,1,2
ptsd47,2,,4
ptsd50,2,,2
ptsd51,1,3,4
ptsd54,1,,4
ptsd55,1,1,4
ptsd56,1,,2
ptsd60,2,,3
ptsd62,1,2,2
ptsd63,1,2,3
ptsd64,1,,3
ptsd69,1,2,1
ptsd70,1,,1
ptsd72,1,5,1
ptsd76,2,,5
ptsd77,1,,4
ptsd78,1,5,1
ptsd79,1,,4
ptsd82,2,1,4
ptsd84,2,3,2
ptsd86,1,,4
ptsd91,2,,2
ptsd92,1,2,3
ptsd97,1,1,5
ptsd98,1,2,4
ptsd99,1,,1
ptsd100,5,2,3
ptsd101,1,,1
ptsd103,2,,1
ptsd106,1,2,1
ptsd109,3,,1
ptsd111,1,3,1
ptsd115,1,2,3
ptsd117,1,1,1
ptsd120,1,3,2
ptsd122,2,1,4
ptsd123,1,,4
ptsd124,1,3,3
ptsd125,1,,1
ptsd127,1,,3
ptsd128,1,2,2
ptsd130,3,4,5
ptsd131,3,2,1
ptsd132,1,1,3
ptsd134,1,,3
ptsd135,1,4,4
ptsd136,1,2,3
ptsd138,3,1,4
ptsd139,2,1,3
ptsd142,1,3,1
ptsd143,2,,3
ptsd144,2,1,1
ptsd145,2,,1
ptsd146,1,1,5
ptsd147,1,4,2
ptsd148,3,3,1
ptsd150,1,,5
ptsd151,1,1,3
ptsd152,1,,2
ptsd154,1,4,2
ptsd156,3,2,3
ptsd157,1,,2
ptsd158,1,2,3
ptsd161,1,,5
ptsd162,1,1,3
ptsd168,1,,5
ptsd169,1,4,2
ptsd170,2,,3
ptsd174,3,1,1
ptsd175,1,3,3
ptsd177,1,,4
ptsd178,1,1,4
ptsd181,1,,1
ptsd182,2,1,4
ptsd183,1,1,5
ptsd184,1,4,4
ptsd185,1,3,2
ptsd186,1,4,2
ptsd188,1,2,3
ptsd189,1,,3
ptsd193,1,4,4
ptsd194,1,,5
ptsd195,1,5,4
ptsd196,1,2,4
ptsd198,1,2,2
ptsd200,4,,1
ptsd205,3,3,5
ptsd209,1,2,4
ptsd210,5,5,5
