gssvar,s,q,r
ptsd2,2,1,3
ptsd5,1,2,3
ptsd11,2,1,2
ptsd14,2,2,3
ptsd15,4,2,2
ptsd19,4,,1
ptsd20,3,3,1
ptsd22,1,1,4
ptsd23,1,3,1
ptsd24,3,,2
ptsd25,3,2,3
ptsd26,3,,1
ptsd31,3,4,3
ptsd33,3,,3
ptsd35,4,,1
ptsd36,3,3,3
ptsd43,3,5,5
ptsd46,1,,2
ptsd47,1,2,5
ptsd48,3,2,2
ptsd49,3,4,2
ptsd51,1,2,4
ptsd53,3,2,1
ptsd54,1,1,3
ptsd55,1,3,5
ptsd59,3,,2
ptsd63,1,1,2
ptsd64,1,3,1
ptsd66,2,1,1
ptsd69,2,4,2
ptsd71,3,,4
ptsd72,2,2,3
ptsd73,3,1,3
ptsd74,3,3,1
ptsd75,2,3,3
ptsd78,2,,1
ptsd82,2,,1
ptsd86,4,,1
ptsd88,2,2,5
ptsd89,2,5,4
ptsd90,2,4,1
ptsd91,4,2,1
ptsd93,2,,1
ptsd100,2,4,2
ptsd103,1,1,4
ptsd106,4,3,2
ptsd107,1,,1
ptsd110,2,5,5
ptsd114,1,2,4
ptsd115,2,,3
ptsd116,1,2,1
ptsd118,1,,1
ptsd119,3,,2
ptsd120,3,,2
ptsd121,1,1,1
ptsd122,1,,3
ptsd125,3,,1
ptsd126,4,,2
ptsd128,1,3,4
ptsd129,1,,4
ptsd132,1,,1
ptsd133,1,,4
ptsd134,2,2,1
ptsd136,1,,5
ptsd146,2,4,1
ptsd147,2,,3
ptsd148,2,2,3
ptsd150,1,,4
ptsd151,1,1,3
ptsd153,2,4,1
ptsd155,2,4,3
ptsd156,2,3,3
ptsd158,2,,3
ptsd160,1,3,5
ptsd162,1,2,2
ptsd164,2,,3
ptsd167,2,3,4
ptsd168,2,3,5
ptsd172,1,1,3
ptsd173,1,2,2
ptsd174,2,1,2
ptsd176,2,1,3
ptsd178,2,,2
ptsd182,1,,2
ptsd183,1,1,3
ptsd184,1,1,5
ptsd186,2,2,3
ptsd187,1,1,2
ptsd189,1,3,2
ptsd190,1,1,2
ptsd193,1,1,2
ptsd194,1,3,3
ptsd195,1,2,1
ptsd198,2,,3
ptsd199,2,,2
ptsd201,1,,2
ptsd202,1,,4
ptsd205,2,3,4
ptsd206,1,2,5
ptsd211,3,,4
