gssvar,s,q,r
ptsd3,5,2,3
ptsd5,1,,3
ptsd7,5,4,3
ptsd9,4,2,2
ptsd12,4,,3
ptsd13,3,1,1
ptsd14,3,1,4
ptsd15,5,2,1
ptsd16,5,,3
ptsd18,5,3,1
ptsd22,2,1,3
ptsd23,5,,3
ptsd27,4,3,1
ptsd28,4,,2
ptsd29,3,4,5
ptsd30,4,4,2
ptsd32,3,4,5
ptsd36,3,2,2
ptsd37,3,4,2
ptsd39,4,4,4
ptsd40,4,,3
ptsd41,3,,5
ptsd42,3,1,4
ptsd43,2,3,4
ptsd44,4,,2
ptsd46,2,1,4
ptsd52,3,,2
ptsd53,3,2,1
ptsd54,1,,2
ptsd56,4,,3
ptsd58,5,1,3
ptsd59,4,3,1
ptsd60,3,,1
ptsd61,5,5,1
ptsd64,2,,2
ptsd66,4,4,1
ptsd72,5,,1
ptsd73,5,5,4
ptsd76,5,2,4
ptsd77,4,1,2
ptsd80,5,3,4
ptsd82,5,,1
ptsd83,3,,1
ptsd85,5,3,5
ptsd89,4,4,4
ptsd90,4,3,2
ptsd91,4,3,2
ptsd92,3,3,4
ptsd95,4,,3
ptsd96,4,4,1
ptsd98,4,,4
ptsd103,1,3,1
ptsd105,4,4,1
ptsd108,3,3,1
ptsd110,4,3,2
ptsd113,1,,2
ptsd114,2,,1
ptsd115,1,1,4
ptsd116,1,,1
ptsd118,1,1,5
ptsd119,4,3,1
ptsd120,4,4,1
ptsd121,3,3,1
ptsd123,4,,1
ptsd130,4,4,3
ptsd131,5,4,1
ptsd132,3,,3
ptsd136,3,2,3
ptsd138,2,2,1
ptsd141,4,4,3
ptsd143,3,2,5
ptsd144,3,3,4
ptsd146,2,4,1
ptsd148,3,3,5
ptsd149,5,,3
ptsd153,2,4,2
ptsd155,3,4,2
ptsd160,1,5,3
ptsd161,5,2,2
ptsd163,4,3,3
ptsd164,4,3,2
ptsd166,3,3,3
ptsd168,2,,5
ptsd169,3,2,2
ptsd171,3,,2
ptsd174,3,1,1
ptsd175,2,3,3
ptsd176,3,,2
ptsd179,3,3,4
ptsd180,3,1,2
ptsd181,4,1,2
ptsd182,2,4,4
ptsd183,4,,5
ptsd187,4,4,1
ptsd188,1,4,1
ptsd190,1,,2
ptsd195,2,4,5
ptsd196,4,,3
ptsd197,3,5,3
ptsd198,5,5,4
ptsd201,1,,5
ptsd202,4,3,4
ptsd204,5,2,4
ptsd211,5,5,2
