gssvar,s,q,r
ptsd1,2,1,3
ptsd3,1,,3
ptsd7,2,4,3
ptsd8,2,,2
ptsd10,1,1,3
ptsd11,2,2,2
ptsd12,2,,3
ptsd14,3,2,4
ptsd16,2,3,1
ptsd17,3,4,3
ptsd18,3,2,1
ptsd20,3,,3
ptsd21,2,3,3
ptsd24,3,3,2
ptsd25,3,1,3
ptsd26,3,2,3
ptsd27,3,2,4
ptsd30,2,3,2
ptsd31,4,1,5
ptsd32,3,5,4
ptsd33,4,2,3
ptsd34,3,3,5
ptsd37,2,4,4
ptsd38,3,,3
ptsd39,3,2,2
ptsd40,3,4,1
ptsd42,1,1,4
ptsd43,2,1,2
ptsd44,2,3,4
ptsd48,4,1,3
ptsd50,2,,1
ptsd53,2,,1
ptsd54,2,1,2
ptsd55,3,1,3
ptsd58,2,,1
ptsd64,3,,3
ptsd65,3,3,3
ptsd66,2,3,2
ptsd69,2,,4
ptsd73,2,2,1
ptsd75,2,3,4
ptsd76,2,,4
ptsd78,4,,2
ptsd79,1,3,4
ptsd84,1,1,1
ptsd85,1,,1
ptsd86,2,4,5
ptsd87,4,4,4
ptsd88,3,,3
ptsd93,2,,4
ptsd94,3,4,3
ptsd96,1,2,1
ptsd97,3,,4
ptsd99,2,2,1
ptsd101,1,,1
ptsd105,2,,1
ptsd107,3,,2
ptsd110,2,,2
ptsd112,1,,2
ptsd115,2,1,1
ptsd117,2,3,1
ptsd118,1,,1
ptsd119,3,4,3
ptsd120,2,,4
ptsd122,3,4,2
ptsd123,2,,3
ptsd127,2,,3
ptsd128,1,1,3
ptsd131,2,,4
ptsd132,2,4,3
ptsd133,3,1,1
ptsd136,3,1,3
ptsd139,2,,1
ptsd140,4,,3
ptsd142,2,2,5
ptsd143,2,2,2
ptsd144,1,2,1
ptsd145,1,,4
ptsd146,3,3,5
ptsd148,2,4,3
ptsd151,1,1,4
ptsd152,1,,2
ptsd153,1,,2
ptsd156,4,4,3
ptsd158,3,2,2
ptsd159,5,2,3
ptsd163,2,5,5
ptsd165,2,1,1
ptsd166,3,,2
ptsd168,1,1,2
ptsd170,2,1,3
ptsd174,4,1,1
ptsd177,2,3,3
ptsd178,2,,4
ptsd180,2,,4
ptsd181,2,3,1
ptsd182,2,2,4
ptsd183,1,1,5
ptsd184,2,,4
ptsd186,3,,2
ptsd187,3,,2
ptsd190,3,1,3
ptsd191,2,3,1
ptsd195,4,4,4
ptsd197,1,2,5
ptsd198,2,,4
ptsd199,3,,4
ptsd201,1,,2
ptsd203,2,4,1
ptsd204,1,4,5
ptsd205,2,1,4
ptsd207,3,2,5
ptsd210,2,2,5
