gssvar,s,q,r
ptsd1,5,1,3
ptsd3,5,,3
ptsd8,3,4,3
ptsd10,3,1,4
ptsd11,3,3,1
ptsd16,2,2,1
ptsd22,1,2,4
ptsd24,2,3,2
ptsd25,3,3,1
ptsd27,4,3,3
ptsd28,3,,3
ptsd29,3,2,3
ptsd30,2,4,3
ptsd31,5,1,1
ptsd32,3,2,5
ptsd33,3,3,5
ptsd36,3,3,4
ptsd39,3,1,4
ptsd49,3,4,3
ptsd50,3,2,2
ptsd51,1,1,1
ptsd52,3,2,4
ptsd53,3,3,1
ptsd54,1,1,3
ptsd55,2,1,5
ptsd57,4,3,2
ptsd61,5,2,4
ptsd62,3,,1
ptsd63,1,,4
ptsd64,2,1,4
ptsd65,4,3,1
ptsd68,3,,4
ptsd69,5,3,3
ptsd70,4,4,3
ptsd75,3,,1
ptsd77,4,2,3
ptsd78,4,3,1
ptsd79,4,,1
ptsd80,5,,1
ptsd81,3,3,5
ptsd82,4,5,4
ptsd84,1,1,1
ptsd85,3,2,4
ptsd88,4,,4
ptsd90,3,,4
ptsd94,4,4,1
ptsd95,3,4,4
ptsd98,2,2,4
ptsd105,3,,1
ptsd107,4,,1
ptsd110,4,,5
ptsd112,2,,4
ptsd113,2,4,3
ptsd114,2,1,1
ptsd116,1,,1
ptsd118,2,2,4
ptsd120,4,3,2
ptsd122,2,2,3
ptsd127,3,4,3
ptsd129,1,,1
ptsd130,4,2,2
ptsd132,4,3,2
ptsd133,5,4,1
ptsd134,4,1,4
ptsd137,4,3,1
ptsd140,5,,5
ptsd141,4,1,1
ptsd142,5,1,3
ptsd144,4,2,1
ptsd145,4,3,2
ptsd147,5,4,3
ptsd150,5,2,1
ptsd151,2,4,2
ptsd153,4,,3
ptsd154,4,,3
ptsd159,4,2,3
ptsd166,4,3,2
ptsd167,4,2,2
ptsd171,4,,4
ptsd175,4,,1
ptsd177,4,4,4
ptsd181,3,3,2
ptsd183,2,1,3
ptsd184,4,5,2
ptsd185,4,,2
ptsd187,4,3,1
ptsd189,4,1,1
ptsd190,2,1,4
ptsd191,3,,1
ptsd193,4,,2
ptsd194,4,1,3
ptsd195,5,3,5
ptsd197,4,4,3
ptsd199,1,2,5
ptsd201,4,,2
ptsd202,4,,3
ptsd205,4,4,1
ptsd206,3,4,3
ptsd208,4,1,2
ptsd209,4,4,2
ptsd211,5,4,4
