gssvar,s,q,r
ptsd1,5,4,3
ptsd2,2,3,3
ptsd7,1,2,3
ptsd8,2,2,2
ptsd9,2,2,1
ptsd10,3,,1
ptsd11,1,2,1
ptsd12,1,4,1
ptsd15,1,3,4
ptsd16,1,,1
ptsd17,1,1,3
ptsd23,1,,1
ptsd24,3,3,2
ptsd26,1,,1
ptsd30,1,1,1
ptsd33,2,4,5
ptsd35,1,,5
ptsd36,3,2,4
ptsd37,3,,4
ptsd40,2,4,2
ptsd45,1,1,4
ptsd46,1,1,3
ptsd48,3,2,3
ptsd49,3,2,3
ptsd51,1,1,4
ptsd52,3,4,2
ptsd56,1,1,1
ptsd58,4,2,2
ptsd60,2,1,4
ptsd61,4,,3
ptsd62,3,1,2
ptsd65,4,3,3
ptsd68,2,3,3
ptsd70,1,3,1
ptsd71,1,,1
ptsd75,1,,1
ptsd76,1,,5
ptsd82,1,4,4
ptsd83,1,,1
ptsd84,1,3,4
ptsd85,2,3,4
ptsd86,1,,2
ptsd88,1,1,4
ptsd90,4,1,1
ptsd93,2,,3
ptsd94,3,4,2
ptsd96,3,3,4
ptsd101,1,3,3
ptsd105,4,4,4
ptsd106,4,,2
ptsd107,2,,1
ptsd115,3,,4
ptsd116,3,1,1
ptsd117,4,,3
ptsd120,3,,2
ptsd121,1,,2
ptsd122,2,4,4
ptsd126,3,,4
ptsd127,1,,3
ptsd129,1,,1
ptsd132,1,1,1
ptsd135,1,,5
ptsd136,4,2,1
ptsd138,4,,1
ptsd141,4,4,1
ptsd142,1,,4
ptsd143,1,4,3
ptsd146,1,4,1
ptsd147,4,4,3
ptsd148,2,3,3
ptsd149,1,1,3
ptsd150,2,3,5
ptsd154,5,3,2
ptsd157,1,,1
ptsd158,1,1,5
ptsd162,1,3,3
ptsd165,1,2,4
ptsd168,1,1,2
ptsd169,2,1,2
ptsd170,1,1,3
ptsd175,1,,2
ptsd178,1,,3
ptsd182,1,4,5
ptsd183,1,,3
ptsd185,1,2,2
ptsd188,3,3,2
ptsd190,2,1,2
ptsd192,1,4,2
ptsd193,1,1,3
ptsd195,1,3,1
ptsd200,4,,3
ptsd202,2,,2
ptsd205,1,,2
ptsd207,1,,4
ptsd208,1,3,4
ptsd209,2,2,5
ptsd210,4,,4
