gssvar,s,q,r
ptsd3,3,1,3
ptsd9,2,,3
ptsd11,2,1,2
ptsd12,2,3,3
ptsd17,4,3,2
ptsd19,3,2,1
ptsd22,2,2,1
ptsd27,2,3,2
ptsd28,3,3,2
ptsd29,3,,4
ptsd30,3,2,1
ptsd34,2,4,3
ptsd35,3,1,1
ptsd36,2,2,1
ptsd37,2,2,1
ptsd40,3,3,3
ptsd41,2,2,5
ptsd42,1,3,3
ptsd43,3,2,2
ptsd44,4,2,5
ptsd47,2,3,4
ptsd49,3,3,2
ptsd50,3,3,4
ptsd51,3,3,3
ptsd58,4,2,5
ptsd60,2,,2
ptsd65,3,,2
ptsd66,4,1,1
ptsd68,4,1,2
ptsd69,4,,4
ptsd71,4,5,3
ptsd72,4,1,3
ptsd75,5,2,1
ptsd77,4,3,3
ptsd79,4,3,1
ptsd80,4,,1
ptsd83,2,3,1
ptsd84,2,2,5
ptsd86,5,4,4
ptsd87,5,4,1
ptsd91,4,,1
ptsd92,4,,1
ptsd95,4,2,4
ptsd96,4,2,2
ptsd98,2,2,4
ptsd99,4,,3
ptsd101,5,,1
ptsd103,2,,5
ptsd107,4,,2
ptsd110,4,4,3
ptsd111,5,,1
ptsd114,1,2,1
ptsd115,1,1,4
ptsd116,1,2,1
ptsd118,3,1,3
ptsd119,4,,2
ptsd121,2,1,2
ptsd122,1,2,4
ptsd123,4,1,4
ptsd125,4,3,3
ptsd127,4,,1
ptsd134,4,,1
ptsd135,4,2,5
ptsd137,4,3,1
ptsd139,4,,1
ptsd141,4,3,1
ptsd146,2,2,4
ptsd148,4,3,3
ptsd149,4,,1
ptsd150,4,1,3
ptsd154,4,2,3
ptsd155,3,2,3
ptsd158,4,2,5
ptsd159,5,,2
ptsd162,2,2,1
ptsd163,4,1,5
ptsd164,3,3,3
ptsd168,4,3,2
ptsd171,4,,3
ptsd174,3,1,2
ptsd178,3,1,3
ptsd181,4,2,2
ptsd183,4,,2
ptsd184,4,,3
ptsd188,4,1,2
ptsd196,4,3,3
ptsd200,3,2,5
ptsd201,3,,2
ptsd202,3,,3
ptsd204,2,,1
ptsd208,4,4,3
ptsd209,4,4,2
ptsd210,4,2,2
ptsd211,4,4,4
