gssvar,s,q,r
ptsd1,5,3,3
ptsd5,1,2,3
ptsd7,4,,3
ptsd9,2,4,2
ptsd10,3,2,3
ptsd11,4,,2
ptsd13,3,,1
ptsd16,4,4,4
ptsd19,4,,1
ptsd22,5,2,3
ptsd23,5,2,1
ptsd25,4,1,1
ptsd27,3,4,1
ptsd28,4,4,3
ptsd30,5,4,5
ptsd32,5,,5
ptsd35,4,2,2
ptsd38,3,2,3
ptsd40,4,4,1
ptsd46,4,,3
ptsd47,4,1,5
ptsd50,4,,4
ptsd53,2,3,3
ptsd54,3,1,1
ptsd56,4,1,1
ptsd58,4,4,2
ptsd60,4,1,4
ptsd63,1,1,2
ptsd67,4,,3
ptsd69,3,,3
ptsd70,4,3,1
ptsd73,4,3,3
ptsd74,4,,1
ptsd75,3,2,1
ptsd77,5,2,1
ptsd78,5,5,5
ptsd82,4,2,4
ptsd84,4,4,1
ptsd85,4,2,4
ptsd89,5,,4
ptsd91,4,3,4
ptsd93,4,4,1
ptsd95,4,3,4
ptsd96,5,1,4
ptsd97,4,1,1
ptsd100,5,4,1
ptsd103,4,2,5
ptsd104,5,,4
ptsd105,4,,2
ptsd107,4,,1
ptsd108,4,,4
ptsd109,4,3,3
ptsd111,4,2,1
ptsd113,1,5,4
ptsd114,4,2,1
ptsd115,1,1,3
ptsd117,1,,1
ptsd119,4,3,2
ptsd124,4,2,4
ptsd128,3,2,4
ptsd132,4,,1
ptsd137,5,,4
ptsd141,3,1,1
ptsd144,4,,3
ptsd145,4,,4
ptsd146,4,,5
ptsd147,4,,1
ptsd150,4,4,3
ptsd151,2,1,3
ptsd154,4,,4
ptsd155,4,,3
ptsd157,3,3,1
ptsd159,4,3,3
ptsd160,4,1,3
ptsd163,2,2,3
ptsd165,3,,3
ptsd167,3,2,2
ptsd169,4,1,2
ptsd179,4,3,3
ptsd182,4,1,5
ptsd183,5,1,3
ptsd184,4,1,2
ptsd188,3,1,2
ptsd189,4,1,1
ptsd191,3,,2
ptsd192,4,4,2
ptsd193,4,5,3
ptsd194,3,,2
ptsd195,3,2,3
ptsd197,4,3,5
ptsd199,4,,3
ptsd200,4,,5
ptsd202,3,,2
ptsd203,5,4,3
ptsd205,4,2,1
ptsd208,4,4,3
ptsd209,4,3,2
