gssvar,s,q,r
ptsd2,1,,3
ptsd4,1,1,2
ptsd5,1,1,1
ptsd6,1,3,3
ptsd7,1,2,2
ptsd13,1,,1
ptsd15,1,,1
ptsd16,1,3,4
ptsd21,1,,1
ptsd23,1,3,3
ptsd24,1,2,3
ptsd25,1,,1
ptsd26,1,2,1
ptsd30,1,,3
ptsd31,1,,1
ptsd35,1,1,5
ptsd39,1,3,3
ptsd41,1,1,2
ptsd42,1,3,3
ptsd43,5,3,4
ptsd47,1,1,3
ptsd51,1,1,2
ptsd52,1,1,2
ptsd57,1,3,2
ptsd58,1,1,4
ptsd59,1,1,2
ptsd60,1,1,4
ptsd61,1,3,3
ptsd62,1,1,2
ptsd65,1,4,3
ptsd67,1,,3
ptsd69,1,2,1
ptsd70,1,1,1
ptsd72,1,4,1
ptsd78,1,1,5
ptsd80,1,,4
ptsd81,1,2,1
ptsd82,1,1,4
ptsd84,1,1,4
ptsd85,1,3,2
ptsd86,1,3,4
ptsd87,1,,1
ptsd88,1,,1
ptsd90,1,,3
ptsd93,1,,1
ptsd95,1,1,1
ptsd98,1,2,3
ptsd99,1,4,4
ptsd100,1,3,1
ptsd102,1,1,1
ptsd105,1,,2
ptsd109,1,2,1
ptsd111,1,,1
ptsd113,5,4,3
ptsd114,1,,2
ptsd117,1,2,4
ptsd118,1,1,1
ptsd119,1,2,2
ptsd120,1,,1
ptsd121,1,2,3
ptsd122,1,,4
ptsd123,1,,2
ptsd124,1,,3
ptsd125,1,1,3
ptsd127,1,1,3
ptsd129,1,,1
ptsd130,1,,3
ptsd132,1,,1
ptsd133,1,1,3
ptsd135,1,3,3
ptsd138,1,,1
ptsd140,1,,5
ptsd142,1,,2
ptsd144,1,1,1
ptsd146,1,,5
ptsd149,1,4,3
ptsd151,1,,4
ptsd152,1,,2
ptsd154,1,2,2
ptsd155,1,,3
ptsd156,1,,2
ptsd157,1,1,3
ptsd159,1,1,5
ptsd160,1,4,3
ptsd161,1,5,5
ptsd163,1,,2
ptsd164,1,2,3
ptsd165,1,2,1
ptsd167,1,,3
ptsd168,1,,2
ptsd169,1,1,2
ptsd170,1,3,4
ptsd171,1,1,3
ptsd175,1,5,4
ptsd177,1,,2
ptsd179,1,3,1
ptsd180,1,2,2
ptsd181,1,,2
ptsd182,1,,5
ptsd183,1,,3
ptsd185,1,4,3
ptsd188,1,,1
ptsd189,1,2,1
ptsd190,1,,4
ptsd192,1,1,5
ptsd193,1,,4
ptsd194,1,,4
ptsd195,1,1,2
ptsd197,1,3,1
ptsd199,1,,5
ptsd200,1,,4
ptsd201,1,,5
ptsd202,1,,5
ptsd203,1,,1
ptsd205,1,3,3
ptsd207,1,1,2
ptsd210,1,2,2
ptsd211,1,,1
