gssvar,s,q,r
ptsd4,4,3,2
ptsd9,4,1,3
ptsd10,3,4,1
ptsd12,4,4,3
ptsd15,3,2,2
ptsd16,3,,1
ptsd17,4,3,1
ptsd18,2,3,4
ptsd20,1,3,1
ptsd21,1,,3
ptsd26,3,3,3
ptsd27,3,,1
ptsd28,2,4,3
ptsd31,3,,3
ptsd33,4,4,1
ptsd34,4,4,5
ptsd36,4,2,3
ptsd37,4,4,4
ptsd38,3,,4
ptsd39,4,4,3
ptsd40,3,3,1
ptsd41,4,1,3
ptsd43,2,2,5
ptsd44,5,3,2
ptsd45,2,3,4
ptsd46,1,,2
ptsd50,4,4,2
ptsd52,3,1,1
ptsd53,3,1,3
ptsd57,4,4,3
ptsd59,4,2,3
ptsd60,4,1,1
ptsd61,5,4,3
ptsd63,1,1,1
ptsd64,2,,1
ptsd70,3,,1
ptsd71,4,,1
ptsd76,3,2,1
ptsd77,4,3,5
ptsd79,4,5,4
ptsd80,4,3,1
ptsd81,4,,4
ptsd82,4,1,4
ptsd84,2,1,2
ptsd86,4,4,4
ptsd87,4,,1
ptsd88,3,2,1
ptsd89,3,3,5
ptsd94,4,,1
ptsd95,2,2,1
ptsd99,4,,3
ptsd102,4,,1
ptsd104,5,,1
ptsd105,4,1,2
ptsd106,4,,1
ptsd107,4,,1
ptsd108,2,3,2
ptsd109,4,2,1
ptsd110,5,,2
ptsd111,5,,2
ptsd112,3,3,1
ptsd114,3,2,4
ptsd116,1,,1
ptsd117,4,1,2
ptsd119,3,,4
ptsd121,2,2,3
ptsd122,2,,3
ptsd128,4,1,3
ptsd134,3,1,3
ptsd135,4,1,4
ptsd140,4,3,3
ptsd143,4,3,1
ptsd144,3,,3
ptsd145,4,2,1
ptsd146,5,1,3
ptsd147,4,3,3
ptsd150,5,2,5
ptsd154,4,3,2
ptsd156,4,,1
ptsd160,4,1,5
ptsd162,1,1,3
ptsd165,3,,4
ptsd166,1,,1
ptsd170,1,5,2
ptsd177,4,,2
ptsd181,2,2,1
ptsd187,4,3,1
ptsd190,1,1,4
ptsd191,3,1,1
ptsd195,4,4,2
ptsd198,4,3,3
ptsd199,3,,5
ptsd200,3,,3
ptsd203,5,4,5
ptsd205,4,,2
ptsd207,4,3,3
ptsd209,5,2,1
ptsd211,5,,3
