gssvar,s,q,r
ptsd2,3,2,3
ptsd7,2,1,3
ptsd8,4,,3
ptsd9,1,1,2
ptsd12,3,2,3
ptsd13,1,,1
ptsd14,3,,4
ptsd15,2,4,1
ptsd16,1,,3
ptsd17,2,3,1
ptsd19,2,2,3
ptsd20,1,1,3
ptsd22,2,1,1
ptsd27,4,3,3
ptsd28,4,1,2
ptsd31,1,,2
ptsd32,5,5,5
ptsd36,4,2,2
ptsd40,3,2,1
ptsd41,2,5,3
ptsd44,2,4,5
ptsd45,3,,2
ptsd46,1,1,4
ptsd47,1,1,2
ptsd49,1,3,2
ptsd52,1,1,1
ptsd54,1,,3
ptsd56,2,3,3
ptsd57,5,,3
ptsd58,1,,1
ptsd59,1,1,3
ptsd60,2,3,1
ptsd65,3,2,3
ptsd67,4,1,3
ptsd69,2,2,5
ptsd71,1,2,4
ptsd72,2,2,1
ptsd75,2,1,4
ptsd78,2,2,4
ptsd79,3,,2
ptsd80,2,1,4
ptsd81,1,,1
ptsd83,1,1,1
ptsd89,2,3,5
ptsd91,1,3,1
ptsd92,1,,1
ptsd94,4,3,3
ptsd96,1,,1
ptsd98,1,,1
ptsd99,2,,1
ptsd100,4,,1
ptsd102,1,1,3
ptsd103,3,3,2
ptsd104,4,5,2
ptsd105,4,4,1
ptsd106,2,3,1
ptsd107,1,1,1
ptsd108,2,,3
ptsd110,5,3,5
ptsd111,1,5,1
ptsd114,2,1,3
ptsd122,1,,3
ptsd123,4,,1
ptsd124,4,1,3
ptsd125,3,,4
ptsd126,4,,3
ptsd127,3,1,3
ptsd128,2,,2
ptsd130,3,1,3
ptsd133,2,3,3
ptsd138,2,,1
ptsd142,2,3,5
ptsd144,3,2,4
ptsd145,2,3,1
ptsd149,3,1,5
ptsd150,2,2,3
ptsd151,1,1,4
ptsd154,3,1,2
ptsd158,3,1,2
ptsd160,1,3,3
ptsd163,2,2,2
ptsd168,3,2,3
ptsd171,4,2,3
ptsd173,2,1,3
ptsd175,1,5,5
ptsd177,1,,2
ptsd179,3,3,2
ptsd183,1,2,2
ptsd185,2,,3
ptsd191,3,1,1
ptsd192,3,3,3
ptsd193,2,,2
ptsd194,4,,2
ptsd198,2,,4
ptsd204,4,4,4
ptsd207,2,4,5
ptsd208,1,1,4
ptsd209,1,3,5
